ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-04-30,475814519825093,belgium,51.0,5.0,362070071076950,netherlands,52.316666666667,5.55,15095,travel counts
2020-04-30,852597565113521,united kingdom,54.0,-2.0,362070071076950,netherlands,52.316666666667,5.55,1518,travel counts
2020-04-30,309198619756155,liechtenstein,47.145,9.553889,425473528186094,switzerland,46.798562,8.231973,1235,travel counts
2020-04-30,312478709447704,portugal,38.7,-9.1833333333333,1080265735511471,spain,40.0,-3.0,3539,travel counts
2020-04-30,680120905754069,france,47.0,2.0,1080265735511471,spain,40.0,-3.0,10884,travel counts
2020-04-30,627913770953274,sweden,61.0,15.0,623759951440132,norway,61.0,8.0,2491,travel counts
2020-04-30,1317763431707213,germany,51.0,10.0,417045315510881,czech republic,50.0,16.0,6588,travel counts
2020-04-30,1231810770328071,poland,52.0,19.0,417045315510881,czech republic,50.0,16.0,1884,travel counts
2020-04-30,616857608787515,hungary,47.0,19.0,833225000389252,slovakia,49.0,20.0,1697,travel counts
2020-04-30,2282619438622633,austria,48.0,14.0,833225000389252,slovakia,49.0,20.0,1048,travel counts
2020-04-30,2282619438622633,austria,48.0,14.0,351886962112263,italy,43.0,12.0,2339,travel counts
2020-04-30,2282619438622633,austria,48.0,14.0,417045315510881,czech republic,50.0,16.0,1602,travel counts
2020-04-30,417045315510881,czech republic,50.0,16.0,833225000389252,slovakia,49.0,20.0,2638,travel counts
2020-04-30,2666999523371674,san marino,43.933333333333,12.466666666667,351886962112263,italy,43.0,12.0,1157,travel counts
2020-04-30,351886962112263,italy,43.0,12.0,425473528186094,switzerland,46.798562,8.231973,4162,travel counts
2020-04-30,417158592211893,india,21.0,77.0,1462081337261943,bhutan,27.45,90.5,3910,travel counts
2020-04-30,475814519825093,belgium,51.0,5.0,404888597011746,luxembourg,49.77,6.13,3219,travel counts
2020-04-30,2367165386637842,brazil,-11.0,-53.0,312478709447704,portugal,38.7,-9.1833333333333,1212,travel counts
2020-04-30,1317763431707213,germany,51.0,10.0,362070071076950,netherlands,52.316666666667,5.55,20095,travel counts
2020-04-30,680120905754069,france,47.0,2.0,362070071076950,netherlands,52.316666666667,5.55,2997,travel counts
2020-04-30,425473528186094,switzerland,46.798562,8.231973,351886962112263,italy,43.0,12.0,4368,travel counts
2020-04-30,680120905754069,france,47.0,2.0,425473528186094,switzerland,46.798562,8.231973,12642,travel counts
2020-04-30,1317763431707213,germany,51.0,10.0,404888597011746,luxembourg,49.77,6.13,3146,travel counts
2020-04-30,1317763431707213,germany,51.0,10.0,425473528186094,switzerland,46.798562,8.231973,4578,travel counts
2020-04-30,1080265735511471,spain,40.0,-3.0,351886962112263,italy,43.0,12.0,1117,travel counts
2020-04-30,680120905754069,france,47.0,2.0,404888597011746,luxembourg,49.77,6.13,5622,travel counts
2020-04-30,1080265735511471,spain,40.0,-3.0,312478709447704,portugal,38.7,-9.1833333333333,4498,travel counts
2020-04-30,404888597011746,luxembourg,49.77,6.13,680120905754069,france,47.0,2.0,5546,travel counts
2020-04-30,433497307408292,thailand,15.0,101.0,419634095534324,malaysia,2.316667,111.55,3652,travel counts
2020-04-30,680120905754069,france,47.0,2.0,351886962112263,italy,43.0,12.0,4124,travel counts
2020-04-30,351886962112263,italy,43.0,12.0,680120905754069,france,47.0,2.0,3631,travel counts
2020-04-30,343315869635106,philippines,11.333330555556,123.01666944444,793335024385721,japan,35.0,136.0,1077,travel counts
2020-04-30,346733206197678,indonesia,-0.8349,113.4668,419634095534324,malaysia,2.316667,111.55,7430,travel counts
