ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-05-25,711084376012350,vietnam,14.016666666667,107.9,642311629554632,cambodia,12.733333,105.666667,3429,travel counts
2020-05-25,433497307408292,thailand,15.0,101.0,642311629554632,cambodia,12.733333,105.666667,7825,travel counts
2020-05-25,2367165386637842,brazil,-11.0,-53.0,606189189846925,uruguay,-32.733333,-56.65,2957,travel counts
2020-05-25,312478709447704,portugal,38.7,-9.1833333333333,1080265735511471,spain,40.0,-3.0,6775,travel counts
2020-05-25,417158592211893,india,21.0,77.0,1268336069999928,kazakhstan,48.0,68.0,1355,travel counts
2020-05-25,463167797558589,taiwan,24.0,121.0,343315869635106,philippines,11.333330555556,123.01666944444,1170,travel counts
2020-05-25,851705715169048,saudi arabia,23.716667,44.116667,343315869635106,philippines,11.333330555556,123.01666944444,4284,travel counts
2020-05-25,793335024385721,japan,35.0,136.0,343315869635106,philippines,11.333330555556,123.01666944444,1258,travel counts
2020-05-25,417158592211893,india,21.0,77.0,343315869635106,philippines,11.333330555556,123.01666944444,1844,travel counts
2020-05-25,937148070010051,united states,40.0,-100.0,343315869635106,philippines,11.333330555556,123.01666944444,2381,travel counts
2020-05-25,597585864063467,united arab emirates,23.783333,54.0,343315869635106,philippines,11.333330555556,123.01666944444,1852,travel counts
2020-05-25,1231810770328071,poland,52.0,19.0,833225000389252,slovakia,49.0,20.0,1541,travel counts
2020-05-25,1317763431707213,germany,51.0,10.0,404888597011746,luxembourg,49.77,6.13,12375,travel counts
2020-05-25,680120905754069,france,47.0,2.0,404888597011746,luxembourg,49.77,6.13,26233,travel counts
2020-05-25,475814519825093,belgium,51.0,5.0,404888597011746,luxembourg,49.77,6.13,12858,travel counts
2020-05-25,793335024385721,japan,35.0,136.0,711084376012350,vietnam,14.016666666667,107.9,1340,travel counts
2020-05-25,642311629554632,cambodia,12.733333,105.666667,711084376012350,vietnam,14.016666666667,107.9,3215,travel counts
2020-05-25,1317763431707213,germany,51.0,10.0,627913770953274,sweden,61.0,15.0,1250,travel counts
2020-05-25,623759951440132,norway,61.0,8.0,627913770953274,sweden,61.0,15.0,2134,travel counts
2020-05-25,331955067734176,finland,64.0,26.0,627913770953274,sweden,61.0,15.0,1527,travel counts
2020-05-25,314322742593141,denmark,56.0,10.0,627913770953274,sweden,61.0,15.0,4215,travel counts
2020-05-25,1231810770328071,poland,52.0,19.0,627913770953274,sweden,61.0,15.0,1516,travel counts
2020-05-25,400835317162981,croatia,45.25,15.466667,351886962112263,italy,43.0,12.0,1619,travel counts
2020-05-25,425473528186094,switzerland,46.798562,8.231973,351886962112263,italy,43.0,12.0,2098,travel counts
2020-05-25,403586003810080,south africa,-29.0,24.0,417158592211893,india,21.0,77.0,1195,travel counts
2020-05-25,346733206197678,indonesia,-0.8349,113.4668,417158592211893,india,21.0,77.0,5624,travel counts
2020-05-25,597585864063467,united arab emirates,23.783333,54.0,417158592211893,india,21.0,77.0,2451,travel counts
2020-05-25,711084376012350,vietnam,14.016666666667,107.9,417158592211893,india,21.0,77.0,2776,travel counts
2020-05-25,1268336069999928,kazakhstan,48.0,68.0,417158592211893,india,21.0,77.0,1321,travel counts
2020-05-25,549126165612289,nepal,26.533333333333,86.733333333333,417158592211893,india,21.0,77.0,12592,travel counts
2020-05-25,937148070010051,united states,40.0,-100.0,417158592211893,india,21.0,77.0,1363,travel counts
2020-05-25,1462081337261943,bhutan,27.45,90.5,417158592211893,india,21.0,77.0,3786,travel counts
