ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-03-09,401821703703677,serbia,43.95,20.933333333333,731553183908171,kosovo,42.6,20.85,3308,travel counts
2020-03-09,419634095534324,malaysia,2.316667,111.55,414941572572779,brunei,4.4,114.566667,2986,travel counts
2020-03-09,2414720828591431,romania,46.0,25.0,1080265735511471,spain,40.0,-3.0,1235,travel counts
2020-03-09,1693686944068084,ireland,53.4469834801,-7.08056729059,1080265735511471,spain,40.0,-3.0,1636,travel counts
2020-03-09,623759951440132,norway,61.0,8.0,1080265735511471,spain,40.0,-3.0,1380,travel counts
2020-03-09,362070071076950,netherlands,52.316666666667,5.55,1080265735511471,spain,40.0,-3.0,4017,travel counts
2020-03-09,331955067734176,finland,64.0,26.0,1080265735511471,spain,40.0,-3.0,1546,travel counts
2020-03-09,351886962112263,italy,43.0,12.0,1080265735511471,spain,40.0,-3.0,4192,travel counts
2020-03-09,475814519825093,belgium,51.0,5.0,1080265735511471,spain,40.0,-3.0,3085,travel counts
2020-03-09,345922999375723,bolivia,-17.056869611111,-64.991228611111,2103842606572854,chile,-31.0,-71.0,1399,travel counts
2020-03-09,414218989431133,honduras,14.633333,-86.816667,661116984348270,el salvador,13.668889,-88.866111,1529,travel counts
2020-03-09,417158592211893,india,21.0,77.0,549126165612289,nepal,26.533333333333,86.733333333333,17138,travel counts
2020-03-09,1212072302300528,guatemala,15.5,-90.25,661116984348270,el salvador,13.668889,-88.866111,3383,travel counts
2020-03-09,921744301497079,argentina,-34.0,-64.0,2103842606572854,chile,-31.0,-71.0,11267,travel counts
2020-03-09,417158592211893,india,21.0,77.0,422079025311801,oman,20.233333,55.966667,1203,travel counts
2020-03-09,417158592211893,india,21.0,77.0,817571401952819,qatar,25.269535,51.212767,1434,travel counts
2020-03-09,2230412020541290,montenegro,42.766667,19.216667,401821703703677,serbia,43.95,20.933333333333,1035,travel counts
2020-03-09,616857608787515,hungary,47.0,19.0,401821703703677,serbia,43.95,20.933333333333,1712,travel counts
2020-03-09,372761139998054,panama,8.616667,-80.366667,2214566348625267,costa rica,10.0,-84.0,1292,travel counts
2020-03-09,407219260067826,bulgaria,42.75,25.5,401821703703677,serbia,43.95,20.933333333333,1138,travel counts
2020-03-09,321538001884900,bosnia and herzegovina,44.0,18.0,401821703703677,serbia,43.95,20.933333333333,4941,travel counts
2020-03-09,1317763431707213,germany,51.0,10.0,401821703703677,serbia,43.95,20.933333333333,1575,travel counts
