ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-03-17,417045315510881,czech republic,50.0,16.0,2282619438622633,austria,48.0,14.0,1785,travel counts
2020-03-17,680120905754069,france,47.0,2.0,2282619438622633,austria,48.0,14.0,1680,travel counts
2020-03-17,384833669025234,slovenia,46.0,15.0,2282619438622633,austria,48.0,14.0,2295,travel counts
2020-03-17,417158592211893,india,21.0,77.0,366682297538943,pakistan,29.0,69.0,7923,travel counts
2020-03-17,597585864063467,united arab emirates,23.783333,54.0,419387851957862,egypt,26.0,29.0,1096,travel counts
2020-03-17,597585864063467,united arab emirates,23.783333,54.0,366682297538943,pakistan,29.0,69.0,4040,travel counts
2020-03-17,937148070010051,united states,40.0,-100.0,2367165386637842,brazil,-11.0,-53.0,4977,travel counts
2020-03-17,627913770953274,sweden,61.0,15.0,623759951440132,norway,61.0,8.0,3944,travel counts
2020-03-17,817571401952819,qatar,25.269535,51.212767,343315869635106,philippines,11.333330555556,123.01666944444,1273,travel counts
2020-03-17,817571401952819,qatar,25.269535,51.212767,417158592211893,india,21.0,77.0,1277,travel counts
2020-03-17,407219260067826,bulgaria,42.75,25.5,351785358793117,greece,39.0,22.0,1516,travel counts
2020-03-17,407219260067826,bulgaria,42.75,25.5,2414720828591431,romania,46.0,25.0,2423,travel counts
2020-03-17,1317763431707213,germany,51.0,10.0,351785358793117,greece,39.0,22.0,1208,travel counts
2020-03-17,1317763431707213,germany,51.0,10.0,2414720828591431,romania,46.0,25.0,3377,travel counts
2020-03-17,463167797558589,taiwan,24.0,121.0,343315869635106,philippines,11.333330555556,123.01666944444,1128,travel counts
2020-03-17,852597565113521,united kingdom,54.0,-2.0,417158592211893,india,21.0,77.0,2375,travel counts
2020-03-17,852597565113521,united kingdom,54.0,-2.0,2414720828591431,romania,46.0,25.0,2629,travel counts
2020-03-17,852597565113521,united kingdom,54.0,-2.0,1317763431707213,germany,51.0,10.0,5529,travel counts
2020-03-17,314322742593141,denmark,56.0,10.0,1317763431707213,germany,51.0,10.0,3392,travel counts
2020-03-17,616857608787515,hungary,47.0,19.0,1317763431707213,germany,51.0,10.0,3906,travel counts
2020-03-17,616857608787515,hungary,47.0,19.0,2414720828591431,romania,46.0,25.0,5628,travel counts
2020-03-17,475814519825093,belgium,51.0,5.0,1317763431707213,germany,51.0,10.0,8969,travel counts
2020-03-17,417045315510881,czech republic,50.0,16.0,1317763431707213,germany,51.0,10.0,8803,travel counts
2020-03-17,833225000389252,slovakia,49.0,20.0,1317763431707213,germany,51.0,10.0,1147,travel counts
2020-03-17,419634095534324,malaysia,2.316667,111.55,417158592211893,india,21.0,77.0,1065,travel counts
2020-03-17,793335024385721,japan,35.0,136.0,343315869635106,philippines,11.333330555556,123.01666944444,1678,travel counts
2020-03-17,680120905754069,france,47.0,2.0,2414720828591431,romania,46.0,25.0,1025,travel counts
2020-03-17,680120905754069,france,47.0,2.0,1317763431707213,germany,51.0,10.0,16773,travel counts
2020-03-17,1231810770328071,poland,52.0,19.0,1317763431707213,germany,51.0,10.0,20878,travel counts
2020-03-17,312478709447704,portugal,38.7,-9.1833333333333,1317763431707213,germany,51.0,10.0,1350,travel counts
2020-03-17,376031519676735,bangladesh,24.016667,89.866667,417158592211893,india,21.0,77.0,18157,travel counts
2020-03-17,362070071076950,netherlands,52.316666666667,5.55,1317763431707213,germany,51.0,10.0,26613,travel counts
2020-03-17,549126165612289,nepal,26.533333333333,86.733333333333,417158592211893,india,21.0,77.0,15309,travel counts
2020-03-17,351785358793117,greece,39.0,22.0,1317763431707213,germany,51.0,10.0,1058,travel counts
2020-03-17,597585864063467,united arab emirates,23.783333,54.0,1317763431707213,germany,51.0,10.0,1376,travel counts
2020-03-17,597585864063467,united arab emirates,23.783333,54.0,343315869635106,philippines,11.333330555556,123.01666944444,2543,travel counts
2020-03-17,597585864063467,united arab emirates,23.783333,54.0,417158592211893,india,21.0,77.0,8612,travel counts
2020-03-17,937148070010051,united states,40.0,-100.0,2103842606572854,chile,-31.0,-71.0,1361,travel counts
2020-03-17,1983580781764432,peru,-8.0,-78.0,2103842606572854,chile,-31.0,-71.0,2436,travel counts
2020-03-17,345922999375723,bolivia,-17.056869611111,-64.991228611111,2103842606572854,chile,-31.0,-71.0,1029,travel counts
2020-03-17,417158592211893,india,21.0,77.0,549126165612289,nepal,26.533333333333,86.733333333333,18052,travel counts
2020-03-17,419634095534324,malaysia,2.316667,111.55,414941572572779,brunei,4.4,114.566667,1149,travel counts
2020-03-17,400835317162981,croatia,45.25,15.466667,321538001884900,bosnia and herzegovina,44.0,18.0,1556,travel counts
