ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-05-08,475814519825093,belgium,51.0,5.0,401821703703677,serbia,43.95,20.933333333333,1040,travel counts
2020-05-08,680120905754069,france,47.0,2.0,425473528186094,switzerland,46.798562,8.231973,13459,travel counts
2020-05-08,309198619756155,liechtenstein,47.145,9.553889,425473528186094,switzerland,46.798562,8.231973,1296,travel counts
2020-05-08,351886962112263,italy,43.0,12.0,425473528186094,switzerland,46.798562,8.231973,5405,travel counts
2020-05-08,627913770953274,sweden,61.0,15.0,314322742593141,denmark,56.0,10.0,3251,travel counts
2020-05-08,404888597011746,luxembourg,49.77,6.13,680120905754069,france,47.0,2.0,6636,travel counts
2020-05-08,312478709447704,portugal,38.7,-9.1833333333333,1080265735511471,spain,40.0,-3.0,3996,travel counts
2020-05-08,1317763431707213,germany,51.0,10.0,425473528186094,switzerland,46.798562,8.231973,4656,travel counts
2020-05-08,852597565113521,united kingdom,54.0,-2.0,1693686944068084,ireland,53.4469834801,-7.08056729059,5147,travel counts
2020-05-08,1317763431707213,germany,51.0,10.0,314322742593141,denmark,56.0,10.0,2258,travel counts
2020-05-08,711084376012350,vietnam,14.016666666667,107.9,793335024385721,japan,35.0,136.0,1014,travel counts
2020-05-08,343315869635106,philippines,11.333330555556,123.01666944444,793335024385721,japan,35.0,136.0,1472,travel counts
2020-05-08,433497307408292,thailand,15.0,101.0,419634095534324,malaysia,2.316667,111.55,4244,travel counts
2020-05-08,346733206197678,indonesia,-0.8349,113.4668,419634095534324,malaysia,2.316667,111.55,7167,travel counts
2020-05-08,362070071076950,netherlands,52.316666666667,5.55,680120905754069,france,47.0,2.0,1565,travel counts
2020-05-08,1317763431707213,germany,51.0,10.0,680120905754069,france,47.0,2.0,8033,travel counts
2020-05-08,852597565113521,united kingdom,54.0,-2.0,680120905754069,france,47.0,2.0,2881,travel counts
2020-05-08,351886962112263,italy,43.0,12.0,680120905754069,france,47.0,2.0,2661,travel counts
2020-05-08,475814519825093,belgium,51.0,5.0,680120905754069,france,47.0,2.0,9824,travel counts
2020-05-08,1080265735511471,spain,40.0,-3.0,680120905754069,france,47.0,2.0,5817,travel counts
2020-05-08,425473528186094,switzerland,46.798562,8.231973,680120905754069,france,47.0,2.0,14929,travel counts
2020-05-08,657349034710714,colombia,3.816667,-73.916667,381900512398634,ecuador,-1.4666666666667,-78.816666666667,2358,travel counts
2020-05-08,937148070010051,united states,40.0,-100.0,381900512398634,ecuador,-1.4666666666667,-78.816666666667,1006,travel counts
2020-05-08,711084376012350,vietnam,14.016666666667,107.9,642311629554632,cambodia,12.733333,105.666667,3551,travel counts
2020-05-08,433497307408292,thailand,15.0,101.0,642311629554632,cambodia,12.733333,105.666667,7503,travel counts
2020-05-08,417158592211893,india,21.0,77.0,1268336069999928,kazakhstan,48.0,68.0,1140,travel counts
2020-05-08,417158592211893,india,21.0,77.0,597585864063467,united arab emirates,23.783333,54.0,2585,travel counts
2020-05-08,852597565113521,united kingdom,54.0,-2.0,362070071076950,netherlands,52.316666666667,5.55,2117,travel counts
2020-05-08,475814519825093,belgium,51.0,5.0,362070071076950,netherlands,52.316666666667,5.55,16865,travel counts
2020-05-08,343315869635106,philippines,11.333330555556,123.01666944444,597585864063467,united arab emirates,23.783333,54.0,1802,travel counts
2020-05-08,417158592211893,india,21.0,77.0,346733206197678,indonesia,-0.8349,113.4668,5870,travel counts
2020-05-08,419634095534324,malaysia,2.316667,111.55,346733206197678,indonesia,-0.8349,113.4668,7277,travel counts
2020-05-08,1317763431707213,germany,51.0,10.0,627913770953274,sweden,61.0,15.0,1208,travel counts
2020-05-08,680120905754069,france,47.0,2.0,852597565113521,united kingdom,54.0,-2.0,2885,travel counts
2020-05-08,475814519825093,belgium,51.0,5.0,852597565113521,united kingdom,54.0,-2.0,1079,travel counts
2020-05-08,627913770953274,sweden,61.0,15.0,331955067734176,finland,64.0,26.0,1004,travel counts
2020-05-08,463167797558589,taiwan,24.0,121.0,346733206197678,indonesia,-0.8349,113.4668,3098,travel counts
2020-05-08,1231810770328071,poland,52.0,19.0,362070071076950,netherlands,52.316666666667,5.55,1025,travel counts
2020-05-08,1317763431707213,germany,51.0,10.0,362070071076950,netherlands,52.316666666667,5.55,23869,travel counts
2020-05-08,937148070010051,united states,40.0,-100.0,792883017828749,mexico,23.316667,-102.366667,54191,travel counts
2020-05-08,366682297538943,pakistan,29.0,69.0,597585864063467,united arab emirates,23.783333,54.0,1672,travel counts
2020-05-08,2367165386637842,brazil,-11.0,-53.0,657349034710714,colombia,3.816667,-73.916667,1063,travel counts
2020-05-08,365511357395737,laos,19.366667,102.566667,433497307408292,thailand,15.0,101.0,9786,travel counts
2020-05-08,627913770953274,sweden,61.0,15.0,623759951440132,norway,61.0,8.0,2306,travel counts
2020-05-08,417158592211893,india,21.0,77.0,403586003810080,south africa,-29.0,24.0,1107,travel counts
2020-05-08,549126165612289,nepal,26.533333333333,86.733333333333,417158592211893,india,21.0,77.0,10991,travel counts
2020-05-08,1268336069999928,kazakhstan,48.0,68.0,417158592211893,india,21.0,77.0,1124,travel counts
2020-05-08,346733206197678,indonesia,-0.8349,113.4668,417158592211893,india,21.0,77.0,5468,travel counts
2020-05-08,851705715169048,saudi arabia,23.716667,44.116667,417158592211893,india,21.0,77.0,1955,travel counts
2020-05-08,366682297538943,pakistan,29.0,69.0,417158592211893,india,21.0,77.0,8213,travel counts
2020-05-08,343315869635106,philippines,11.333330555556,123.01666944444,417158592211893,india,21.0,77.0,1218,travel counts
2020-05-08,921744301497079,argentina,-34.0,-64.0,2367165386637842,brazil,-11.0,-53.0,1772,travel counts
2020-05-08,606189189846925,uruguay,-32.733333,-56.65,2367165386637842,brazil,-11.0,-53.0,2986,travel counts
2020-05-08,2367165386637842,brazil,-11.0,-53.0,606189189846925,uruguay,-32.733333,-56.65,3085,travel counts
2020-05-08,362070071076950,netherlands,52.316666666667,5.55,852597565113521,united kingdom,54.0,-2.0,1317,travel counts
2020-05-08,937148070010051,united states,40.0,-100.0,452507115497292,nigeria,9.0,8.0,2831,travel counts
2020-05-08,2414720828591431,romania,46.0,25.0,616857608787515,hungary,47.0,19.0,2604,travel counts
2020-05-08,851705715169048,saudi arabia,23.716667,44.116667,419387851957862,egypt,26.0,29.0,1136,travel counts
2020-05-08,623759951440132,norway,61.0,8.0,627913770953274,sweden,61.0,15.0,4198,travel counts
2020-05-08,642311629554632,cambodia,12.733333,105.666667,433497307408292,thailand,15.0,101.0,7823,travel counts
2020-05-08,711084376012350,vietnam,14.016666666667,107.9,417158592211893,india,21.0,77.0,2186,travel counts
2020-05-08,343315869635106,philippines,11.333330555556,123.01666944444,463167797558589,taiwan,24.0,121.0,1082,travel counts
2020-05-08,1231810770328071,poland,52.0,19.0,417045315510881,czech republic,50.0,16.0,1298,travel counts
2020-05-08,381900512398634,ecuador,-1.4666666666667,-78.816666666667,657349034710714,colombia,3.816667,-73.916667,2148,travel counts
2020-05-08,937148070010051,united states,40.0,-100.0,810648062654687,canada,56.0,-109.0,10641,travel counts
2020-05-08,427725857796526,paraguay,-23.266667,-58.083333,921744301497079,argentina,-34.0,-64.0,1625,travel counts
2020-05-08,417158592211893,india,21.0,77.0,366682297538943,pakistan,29.0,69.0,8398,travel counts
2020-05-08,921744301497079,argentina,-34.0,-64.0,2103842606572854,chile,-31.0,-71.0,8100,travel counts
2020-05-08,343315869635106,philippines,11.333330555556,123.01666944444,1246147782210951,australia,-25.0,135.0,1016,travel counts
2020-05-08,1080265735511471,spain,40.0,-3.0,312478709447704,portugal,38.7,-9.1833333333333,4981,travel counts
2020-05-08,403586003810080,south africa,-29.0,24.0,417158592211893,india,21.0,77.0,1115,travel counts
2020-05-08,937148070010051,united states,40.0,-100.0,417158592211893,india,21.0,77.0,1205,travel counts
2020-05-08,376031519676735,bangladesh,24.016667,89.866667,417158592211893,india,21.0,77.0,16548,travel counts
2020-05-08,2414720828591431,romania,46.0,25.0,407219260067826,bulgaria,42.75,25.5,2121,travel counts
2020-05-08,616857608787515,hungary,47.0,19.0,2414720828591431,romania,46.0,25.0,3127,travel counts
2020-05-08,2414720828591431,romania,46.0,25.0,1317763431707213,germany,51.0,10.0,2969,travel counts
2020-05-08,290913558509638,haiti,19.1,-72.33,601856040330843,jamaica,18.1823878,-77.3217773,1567,travel counts
2020-05-08,404888597011746,luxembourg,49.77,6.13,1317763431707213,germany,51.0,10.0,4047,travel counts
2020-05-08,616857608787515,hungary,47.0,19.0,1317763431707213,germany,51.0,10.0,1531,travel counts
2020-05-08,419634095534324,malaysia,2.316667,111.55,433497307408292,thailand,15.0,101.0,4731,travel counts
2020-05-08,601856040330843,jamaica,18.1823878,-77.3217773,290913558509638,haiti,19.1,-72.33,1827,travel counts
2020-05-08,314322742593141,denmark,56.0,10.0,627913770953274,sweden,61.0,15.0,9452,travel counts
2020-05-08,2282619438622633,austria,48.0,14.0,616857608787515,hungary,47.0,19.0,10017,travel counts
2020-05-08,351886962112263,italy,43.0,12.0,616857608787515,hungary,47.0,19.0,1136,travel counts
2020-05-08,597585864063467,united arab emirates,23.783333,54.0,422079025311801,oman,20.233333,55.966667,1019,travel counts
2020-05-08,937148070010051,united states,40.0,-100.0,657349034710714,colombia,3.816667,-73.916667,1159,travel counts
2020-05-08,417045315510881,czech republic,50.0,16.0,2282619438622633,austria,48.0,14.0,1243,travel counts
2020-05-08,384833669025234,slovenia,46.0,15.0,2282619438622633,austria,48.0,14.0,1796,travel counts
2020-05-08,351886962112263,italy,43.0,12.0,2282619438622633,austria,48.0,14.0,2104,travel counts
2020-05-08,425473528186094,switzerland,46.798562,8.231973,2282619438622633,austria,48.0,14.0,1105,travel counts
2020-05-08,937148070010051,united states,40.0,-100.0,2367165386637842,brazil,-11.0,-53.0,1413,travel counts
2020-05-08,427725857796526,paraguay,-23.266667,-58.083333,2367165386637842,brazil,-11.0,-53.0,3035,travel counts
2020-05-08,597585864063467,united arab emirates,23.783333,54.0,366682297538943,pakistan,29.0,69.0,1968,travel counts
2020-05-08,921744301497079,argentina,-34.0,-64.0,427725857796526,paraguay,-23.266667,-58.083333,1552,travel counts
2020-05-08,2282619438622633,austria,48.0,14.0,1231810770328071,poland,52.0,19.0,1134,travel counts
2020-05-08,314322742593141,denmark,56.0,10.0,1231810770328071,poland,52.0,19.0,2081,travel counts
2020-05-08,1693686944068084,ireland,53.4469834801,-7.08056729059,852597565113521,united kingdom,54.0,-2.0,4620,travel counts
2020-05-08,680120905754069,france,47.0,2.0,362070071076950,netherlands,52.316666666667,5.55,3570,travel counts
2020-05-08,2367165386637842,brazil,-11.0,-53.0,312478709447704,portugal,38.7,-9.1833333333333,1197,travel counts
2020-05-08,2367165386637842,brazil,-11.0,-53.0,921744301497079,argentina,-34.0,-64.0,1800,travel counts
2020-05-08,597585864063467,united arab emirates,23.783333,54.0,417158592211893,india,21.0,77.0,2402,travel counts
