geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-74.37744140625001 39.588755207832264, -74.33349609375 39.62261287134375)",2020-04-28 1600,1206947,Little Egg Harbor,1206947,Little Egg Harbor,5.3242402203212,13,US,LEVEL4,13,14.4,-1.4,-9.0909090909091,0,-0.33659292578404,39.617604830123,-74.356766044706,39.617604830123,-74.356766044706,0320101302013,0320101302100
"LINESTRING (-76.22314453125 40.128488980636284, -76.22314453125 40.128488980636284)",2020-04-28 1600,1408783,West Earl,1408783,West Earl,0,13,US,LEVEL4,179,142.6,36.4,25.348189415042,0,4,40.125777974821,-76.17742884798,40.125777974821,-76.17742884798,0320100133003,0320100133003
"LINESTRING (-76.22314453125 40.195657016316716, -76.22314453125 40.195657016316716)",2020-04-28 1600,1408732,Clay,1408732,Clay,0,13,US,LEVEL4,197,139.6,57.4,40.825035561878,0,4,40.235380234715,-76.236910522918,40.235380234715,-76.236910522918,0320100131223,0320100131223
"LINESTRING (-76.22314453125 40.22921611124274, -76.22314453125 40.22921611124274)",2020-04-28 1600,1408732,Clay,1408732,Clay,0,13,US,LEVEL4,93,55,38,67.857142857143,0,4,40.235380234715,-76.236910522918,40.235380234715,-76.236910522918,0320100131221,0320100131221
"LINESTRING (-76.22314453125 40.26275858650597, -76.22314453125 40.26275858650597)",2020-04-28 1600,1408732,Clay,1408732,Clay,0,13,US,LEVEL4,27,20,7,33.333333333333,0,3.5,40.235380234715,-76.236910522918,40.235380234715,-76.236910522918,0320100131203,0320100131203
"LINESTRING (-76.22314453125 40.32979366503048, -76.22314453125 40.32979366503048)",2020-04-28 1600,1408823,Millcreek,1408823,Millcreek,0,13,US,LEVEL4,39,31.8,7.2,21.951219512195,0,4,40.330053879891,-76.220810224747,40.330053879891,-76.220810224747,0320100131023,0320100131023
"LINESTRING (-74.37744140625001 39.588755207832264, -74.37744140625001 39.588755207832264)",2020-04-28 1600,1206947,Little Egg Harbor,1206947,Little Egg Harbor,0,13,US,LEVEL4,633,450,183,40.576496674058,0,4,39.617604830123,-74.356766044706,39.617604830123,-74.356766044706,0320101302013,0320101302013
"LINESTRING (-76.22314453125001 36.6860392580712, -76.22314453125001 36.6860392580712)",2020-04-28 1600,1425102,Chesapeake,1425102,Chesapeake,0,13,US,LEVEL4,603,409.8,193.2,47.030185004869,0,4,36.677803371658,-76.302386026962,36.677803371658,-76.302386026962,0320102333203,0320102333203
"LINESTRING (-76.22314453125001 36.6860392580712, -76.22314453125001 36.72127186079442)",2020-04-28 1600,1425102,Chesapeake,1425102,Chesapeake,3.9176928245535,13,US,LEVEL4,10,19.2,-9.2,-45.544554455446,0,-4,36.677803371658,-76.302386026962,36.677803371658,-76.302386026962,0320102333203,0320102333201
"LINESTRING (-76.22314453125001 36.72127186079442, -76.22314453125 36.79168859835066)",2020-04-28 1600,1425102,Chesapeake,1425102,Chesapeake,7.8299962571551,13,US,LEVEL4,10,13.4,-3.4,-23.611111111111,0,-1.3545924239123,36.677803371658,-76.302386026962,36.677803371658,-76.302386026962,0320102333201,0320102333021
"LINESTRING (-76.22314453125001 36.72127186079442, -76.22314453125001 36.72127186079442)",2020-04-28 1600,1425102,Chesapeake,1425102,Chesapeake,0,13,US,LEVEL4,468,381.8,86.2,22.51828631139,0,4,36.677803371658,-76.302386026962,36.677803371658,-76.302386026962,0320102333201,0320102333201
