geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-76.22314453125 36.8268727214275, -76.13525390625 36.8268727214275)",2020-04-28 1600,1425160,Virginia Beach,1425160,Virginia Beach,7.8228063576737,13,US,LEVEL4,15,19.4,-4.4,-21.56862745098,0,-1.6285130624347,36.751151009494,-76.058616310492,36.751151009494,-76.058616310492,0320102333003,0320102333013
"LINESTRING (-76.22314453125 36.8268727214275, -76.17919921875 36.8268727214275)",2020-04-28 1600,1425160,Virginia Beach,1425160,Virginia Beach,3.9114032821742,13,US,LEVEL4,13,18.4,-5.4,-27.835051546392,0,-1.1435135846966,36.751151009494,-76.058616310492,36.751151009494,-76.058616310492,0320102333003,0320102333012
"LINESTRING (-76.22314453125 36.8268727214275, -76.17919921875 36.8620406729112)",2020-04-28 1600,1425160,Virginia Beach,1425160,Virginia Beach,5.5302877657115,13,US,LEVEL4,11,21.2,-10.2,-45.945945945946,0,-3.0478329538027,36.751151009494,-76.058616310492,36.751151009494,-76.058616310492,0320102333003,0320102333010
"LINESTRING (-76.22314453125 36.8268727214275, -76.22314453125 36.79168859835066)",2020-04-28 1600,1425160,Virginia Beach,1425102,Chesapeake,3.9123021253702,13,US,LEVEL4,15,32.6,-17.6,-52.380952380952,0,-4,36.751151009494,-76.058616310492,36.677803371658,-76.302386026962,0320102333003,0320102333021
"LINESTRING (-76.22314453125 36.8268727214275, -76.22314453125 36.8268727214275)",2020-04-28 1600,1425160,Virginia Beach,1425160,Virginia Beach,0,13,US,LEVEL4,1102,834,268,32.095808383234,0,4,36.751151009494,-76.058616310492,36.751151009494,-76.058616310492,0320102333003,0320102333003
"LINESTRING (-76.22314453125 36.8268727214275, -76.22314453125001 36.8620406729112)",2020-04-28 1600,1425160,Virginia Beach,1425138,Norfolk,3.9105039234345,13,US,LEVEL4,21,33.8,-12.8,-36.781609195402,0,-2.6865630730311,36.751151009494,-76.058616310492,36.893270935592,-76.261099671982,0320102333003,0320102333001
"LINESTRING (-76.22314453125 36.8268727214275, -76.26708984375 36.79168859835066)",2020-04-28 1600,1425160,Virginia Beach,1425102,Chesapeake,5.5328308075146,13,US,LEVEL4,15,12.8,2.2,15.942028985507,0,1.2298373876249,36.751151009494,-76.058616310492,36.677803371658,-76.302386026962,0320102333003,0320102333020
"LINESTRING (-76.22314453125 36.8268727214275, -76.26708984375 36.8268727214275)",2020-04-28 1600,1425160,Virginia Beach,1425138,Norfolk,3.9114032821742,13,US,LEVEL4,12,20,-8,-38.095238095238,0,-2.8284271247462,36.751151009494,-76.058616310492,36.893270935592,-76.261099671982,0320102333003,0320102333002
"LINESTRING (-74.37744140625 40.16208130501179, -74.37744140625 40.16208130501179)",2020-04-28 1600,1206942,Jackson,1206942,Jackson,0,13,US,LEVEL4,133,101.4,31.6,30.859375,0,4,40.098133107425,-74.357700415324,40.098133107425,-74.357700415324,0320101122011,0320101122011
"LINESTRING (-76.22314453125 36.89719244699134, -76.09130859375 36.8268727214275)",2020-04-28 1600,1425138,Norfolk,1425160,Virginia Beach,14.096278829746,13,US,LEVEL4,14,19.6,-5.6,-27.184466019417,0,-2.7005598041543,36.893270935592,-76.261099671982,36.751151009494,-76.058616310492,0320102331223,0320102333102
