ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-04-28,1317763431707213,germany,51.0,10.0,627913770953274,sweden,61.0,15.0,1153,travel counts
2020-04-28,417158592211893,india,21.0,77.0,1462081337261943,bhutan,27.45,90.5,3875,travel counts
2020-04-28,417158592211893,india,21.0,77.0,403586003810080,south africa,-29.0,24.0,1117,travel counts
2020-04-28,425473528186094,switzerland,46.798562,8.231973,351886962112263,italy,43.0,12.0,3994,travel counts
2020-04-28,680120905754069,france,47.0,2.0,351886962112263,italy,43.0,12.0,3665,travel counts
2020-04-28,384833669025234,slovenia,46.0,15.0,351886962112263,italy,43.0,12.0,1355,travel counts
2020-04-28,921744301497079,argentina,-34.0,-64.0,427725857796526,paraguay,-23.266667,-58.083333,1743,travel counts
2020-04-28,937148070010051,united states,40.0,-100.0,810648062654687,canada,56.0,-109.0,7503,travel counts
2020-04-28,433497307408292,thailand,15.0,101.0,365511357395737,laos,19.366667,102.566667,9465,travel counts
2020-04-28,425473528186094,switzerland,46.798562,8.231973,309198619756155,liechtenstein,47.145,9.553889,1254,travel counts
2020-04-28,2367165386637842,brazil,-11.0,-53.0,427725857796526,paraguay,-23.266667,-58.083333,3095,travel counts
2020-04-28,2666999523371674,san marino,43.933333333333,12.466666666667,351886962112263,italy,43.0,12.0,1132,travel counts
2020-04-28,616857608787515,hungary,47.0,19.0,351886962112263,italy,43.0,12.0,1130,travel counts
2020-04-28,1317763431707213,germany,51.0,10.0,351886962112263,italy,43.0,12.0,2755,travel counts
2020-04-28,833225000389252,slovakia,49.0,20.0,417045315510881,czech republic,50.0,16.0,2629,travel counts
2020-04-28,1231810770328071,poland,52.0,19.0,417045315510881,czech republic,50.0,16.0,2432,travel counts
2020-04-28,2282619438622633,austria,48.0,14.0,417045315510881,czech republic,50.0,16.0,1109,travel counts
2020-04-28,427725857796526,paraguay,-23.266667,-58.083333,921744301497079,argentina,-34.0,-64.0,1800,travel counts
2020-04-28,427725857796526,paraguay,-23.266667,-58.083333,2367165386637842,brazil,-11.0,-53.0,3305,travel counts
2020-04-28,921744301497079,argentina,-34.0,-64.0,2367165386637842,brazil,-11.0,-53.0,1911,travel counts
2020-04-28,351886962112263,italy,43.0,12.0,384833669025234,slovenia,46.0,15.0,1390,travel counts
2020-04-28,1317763431707213,germany,51.0,10.0,417045315510881,czech republic,50.0,16.0,3866,travel counts
2020-04-28,711084376012350,vietnam,14.016666666667,107.9,365511357395737,laos,19.366667,102.566667,9994,travel counts
2020-04-28,2282619438622633,austria,48.0,14.0,351886962112263,italy,43.0,12.0,2073,travel counts
2020-04-28,2103842606572854,chile,-31.0,-71.0,921744301497079,argentina,-34.0,-64.0,6800,travel counts
2020-04-28,417158592211893,india,21.0,77.0,1268336069999928,kazakhstan,48.0,68.0,1025,travel counts
2020-04-28,433497307408292,thailand,15.0,101.0,642311629554632,cambodia,12.733333,105.666667,7474,travel counts
2020-04-28,351886962112263,italy,43.0,12.0,2666999523371674,san marino,43.933333333333,12.466666666667,1252,travel counts
2020-04-28,2282619438622633,austria,48.0,14.0,384833669025234,slovenia,46.0,15.0,2102,travel counts
2020-04-28,346733206197678,indonesia,-0.8349,113.4668,463167797558589,taiwan,24.0,121.0,3179,travel counts
2020-04-28,345922999375723,bolivia,-17.056869611111,-64.991228611111,2367165386637842,brazil,-11.0,-53.0,1033,travel counts
2020-04-28,937148070010051,united states,40.0,-100.0,2272822426127539,puerto rico,18.25,-66.5,1613,travel counts
2020-04-28,2367165386637842,brazil,-11.0,-53.0,921744301497079,argentina,-34.0,-64.0,1865,travel counts
2020-04-28,381900512398634,ecuador,-1.4666666666667,-78.816666666667,657349034710714,colombia,3.816667,-73.916667,1951,travel counts
