ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-05-23,343315869635106,philippines,11.333330555556,123.01666944444,1246147782210951,australia,-25.0,135.0,1084,travel counts
2020-05-23,425473528186094,switzerland,46.798562,8.231973,309198619756155,liechtenstein,47.145,9.553889,1134,travel counts
2020-05-23,343315869635106,philippines,11.333330555556,123.01666944444,463167797558589,taiwan,24.0,121.0,1098,travel counts
2020-05-23,937148070010051,united states,40.0,-100.0,580903582315279,the bahamas,23.916667,-77.666667,1472,travel counts
2020-05-23,401821703703677,serbia,43.95,20.933333333333,475814519825093,belgium,51.0,5.0,1268,travel counts
2020-05-23,852597565113521,united kingdom,54.0,-2.0,475814519825093,belgium,51.0,5.0,1814,travel counts
2020-05-23,1317763431707213,germany,51.0,10.0,475814519825093,belgium,51.0,5.0,5699,travel counts
2020-05-23,680120905754069,france,47.0,2.0,475814519825093,belgium,51.0,5.0,12119,travel counts
2020-05-23,346733206197678,indonesia,-0.8349,113.4668,463167797558589,taiwan,24.0,121.0,3123,travel counts
2020-05-23,404888597011746,luxembourg,49.77,6.13,475814519825093,belgium,51.0,5.0,6140,travel counts
2020-05-23,362070071076950,netherlands,52.316666666667,5.55,475814519825093,belgium,51.0,5.0,13852,travel counts
2020-05-23,2103842606572854,chile,-31.0,-71.0,921744301497079,argentina,-34.0,-64.0,7167,travel counts
2020-05-23,2367165386637842,brazil,-11.0,-53.0,921744301497079,argentina,-34.0,-64.0,1464,travel counts
2020-05-23,427725857796526,paraguay,-23.266667,-58.083333,921744301497079,argentina,-34.0,-64.0,1712,travel counts
2020-05-23,937148070010051,united states,40.0,-100.0,2367165386637842,brazil,-11.0,-53.0,1275,travel counts
2020-05-23,312478709447704,portugal,38.7,-9.1833333333333,2367165386637842,brazil,-11.0,-53.0,1369,travel counts
2020-05-23,427725857796526,paraguay,-23.266667,-58.083333,2367165386637842,brazil,-11.0,-53.0,2946,travel counts
2020-05-23,657349034710714,colombia,3.816667,-73.916667,2367165386637842,brazil,-11.0,-53.0,1199,travel counts
2020-05-23,921744301497079,argentina,-34.0,-64.0,2367165386637842,brazil,-11.0,-53.0,2186,travel counts
2020-05-23,606189189846925,uruguay,-32.733333,-56.65,2367165386637842,brazil,-11.0,-53.0,3049,travel counts
2020-05-23,851705715169048,saudi arabia,23.716667,44.116667,419387851957862,egypt,26.0,29.0,2127,travel counts
2020-05-23,452507115497292,nigeria,9.0,8.0,937148070010051,united states,40.0,-100.0,2892,travel counts
2020-05-23,627913770953274,sweden,61.0,15.0,314322742593141,denmark,56.0,10.0,4280,travel counts
