ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-03-16,827650550921642,latvia,57.0,25.0,505239163341639,estonia,59.0,26.0,1065,travel counts
2020-03-16,463167797558589,taiwan,24.0,121.0,937148070010051,united states,40.0,-100.0,1579,travel counts
2020-03-16,452507115497292,nigeria,9.0,8.0,937148070010051,united states,40.0,-100.0,2071,travel counts
2020-03-16,1983580781764432,peru,-8.0,-78.0,937148070010051,united states,40.0,-100.0,2367,travel counts
2020-03-16,1212072302300528,guatemala,15.5,-90.25,937148070010051,united states,40.0,-100.0,2192,travel counts
2020-03-16,384063729112550,new zealand,-42.0,174.0,937148070010051,united states,40.0,-100.0,1056,travel counts
2020-03-16,1693686944068084,ireland,53.4469834801,-7.08056729059,937148070010051,united states,40.0,-100.0,2264,travel counts
2020-03-16,661116984348270,el salvador,13.668889,-88.866111,937148070010051,united states,40.0,-100.0,1476,travel counts
2020-03-16,414218989431133,honduras,14.633333,-86.816667,937148070010051,united states,40.0,-100.0,1411,travel counts
2020-03-16,417158592211893,india,21.0,77.0,937148070010051,united states,40.0,-100.0,2951,travel counts
2020-03-16,680120905754069,france,47.0,2.0,2318040415151986,algeria,28.0,2.0,1667,travel counts
2020-03-16,417045315510881,czech republic,50.0,16.0,1231810770328071,poland,52.0,19.0,1344,travel counts
2020-03-16,331955067734176,finland,64.0,26.0,505239163341639,estonia,59.0,26.0,1369,travel counts
2020-03-16,571822773304405,lithuania,55.5,24.0,827650550921642,latvia,57.0,25.0,1369,travel counts
2020-03-16,937148070010051,united states,40.0,-100.0,1046047628918648,dominican republic,19.0,-70.666667,4555,travel counts
2020-03-16,417158592211893,india,21.0,77.0,366682297538943,pakistan,29.0,69.0,8715,travel counts
2020-03-16,2282619438622633,austria,48.0,14.0,833225000389252,slovakia,49.0,20.0,2377,travel counts
2020-03-16,1231810770328071,poland,52.0,19.0,833225000389252,slovakia,49.0,20.0,1220,travel counts
2020-03-16,616857608787515,hungary,47.0,19.0,833225000389252,slovakia,49.0,20.0,1619,travel counts
2020-03-16,417045315510881,czech republic,50.0,16.0,833225000389252,slovakia,49.0,20.0,3272,travel counts
2020-03-16,1317763431707213,germany,51.0,10.0,833225000389252,slovakia,49.0,20.0,1010,travel counts
2020-03-16,400835317162981,croatia,45.25,15.466667,321538001884900,bosnia and herzegovina,44.0,18.0,1972,travel counts
2020-03-16,2214566348625267,costa rica,10.0,-84.0,334673967182748,nicaragua,13.091380555556,-86.000988888889,1155,travel counts
2020-03-16,343315869635106,philippines,11.333330555556,123.01666944444,853970694951300,south korea,36.0,128.0,1283,travel counts
2020-03-16,401821703703677,serbia,43.95,20.933333333333,321538001884900,bosnia and herzegovina,44.0,18.0,2711,travel counts
2020-03-16,937148070010051,united states,40.0,-100.0,2214566348625267,costa rica,10.0,-84.0,1743,travel counts
2020-03-16,365511357395737,laos,19.366667,102.566667,711084376012350,vietnam,14.016666666667,107.9,11653,travel counts
2020-03-16,793335024385721,japan,35.0,136.0,711084376012350,vietnam,14.016666666667,107.9,2012,travel counts
2020-03-16,597585864063467,united arab emirates,23.783333,54.0,419387851957862,egypt,26.0,29.0,1061,travel counts
2020-03-16,343315869635106,philippines,11.333330555556,123.01666944444,851705715169048,saudi arabia,23.716667,44.116667,3196,travel counts
2020-03-16,312478709447704,portugal,38.7,-9.1833333333333,1080265735511471,spain,40.0,-3.0,8457,travel counts
2020-03-16,680120905754069,france,47.0,2.0,1080265735511471,spain,40.0,-3.0,11046,travel counts
2020-03-16,852597565113521,united kingdom,54.0,-2.0,1080265735511471,spain,40.0,-3.0,5095,travel counts
2020-03-16,937148070010051,united states,40.0,-100.0,1080265735511471,spain,40.0,-3.0,2499,travel counts
2020-03-16,362070071076950,netherlands,52.316666666667,5.55,1080265735511471,spain,40.0,-3.0,1552,travel counts
2020-03-16,1317763431707213,germany,51.0,10.0,1080265735511471,spain,40.0,-3.0,2230,travel counts
2020-03-16,937148070010051,united states,40.0,-100.0,2272822426127539,puerto rico,18.25,-66.5,7804,travel counts
2020-03-16,417158592211893,india,21.0,77.0,1462081337261943,bhutan,27.45,90.5,5437,travel counts
2020-03-16,2367165386637842,brazil,-11.0,-53.0,1983580781764432,peru,-8.0,-78.0,1084,travel counts
2020-03-16,381900512398634,ecuador,-1.4666666666667,-78.816666666667,1983580781764432,peru,-8.0,-78.0,1250,travel counts
2020-03-16,417158592211893,india,21.0,77.0,351886962112263,italy,43.0,12.0,1063,travel counts
2020-03-16,1080265735511471,spain,40.0,-3.0,351886962112263,italy,43.0,12.0,1457,travel counts
2020-03-16,937148070010051,united states,40.0,-100.0,351886962112263,italy,43.0,12.0,1424,travel counts
2020-03-16,1317763431707213,germany,51.0,10.0,351886962112263,italy,43.0,12.0,2692,travel counts
2020-03-16,2282619438622633,austria,48.0,14.0,351886962112263,italy,43.0,12.0,1628,travel counts
2020-03-16,425473528186094,switzerland,46.798562,8.231973,351886962112263,italy,43.0,12.0,2108,travel counts
2020-03-16,680120905754069,france,47.0,2.0,351886962112263,italy,43.0,12.0,3717,travel counts
2020-03-16,384833669025234,slovenia,46.0,15.0,351886962112263,italy,43.0,12.0,1835,travel counts
2020-03-16,351886962112263,italy,43.0,12.0,2666999523371674,san marino,43.933333333333,12.466666666667,1443,travel counts
2020-03-16,1246147782210951,australia,-25.0,135.0,346733206197678,indonesia,-0.8349,113.4668,1529,travel counts
2020-03-16,937148070010051,united states,40.0,-100.0,580903582315279,the bahamas,23.916667,-77.666667,6056,travel counts
2020-03-16,2247289335332676,turkey,39.0,36.0,407219260067826,bulgaria,42.75,25.5,2182,travel counts
2020-03-16,2414720828591431,romania,46.0,25.0,407219260067826,bulgaria,42.75,25.5,3360,travel counts
2020-03-16,852597565113521,united kingdom,54.0,-2.0,407219260067826,bulgaria,42.75,25.5,1298,travel counts
