ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-03-04,381900512398634,ecuador,-1.4666666666667,-78.816666666667,657349034710714,colombia,3.816667,-73.916667,3950,travel counts
2020-03-04,2282619438622633,austria,48.0,14.0,425473528186094,switzerland,46.798562,8.231973,2911,travel counts
2020-03-04,1317763431707213,germany,51.0,10.0,312478709447704,portugal,38.7,-9.1833333333333,1424,travel counts
2020-03-04,1317763431707213,germany,51.0,10.0,362070071076950,netherlands,52.316666666667,5.55,28827,travel counts
2020-03-04,417158592211893,india,21.0,77.0,1237068956456866,kuwait,29.166667,47.6,1577,travel counts
2020-03-04,937148070010051,united states,40.0,-100.0,792883017828749,mexico,23.316667,-102.366667,88309,travel counts
2020-03-04,680120905754069,france,47.0,2.0,2318040415151986,algeria,28.0,2.0,1539,travel counts
2020-03-04,937148070010051,united states,40.0,-100.0,580903582315279,the bahamas,23.916667,-77.666667,6103,travel counts
2020-03-04,372761139998054,panama,8.616667,-80.366667,657349034710714,colombia,3.816667,-73.916667,1031,travel counts
2020-03-04,937148070010051,united states,40.0,-100.0,657349034710714,colombia,3.816667,-73.916667,3471,travel counts
2020-03-04,2367165386637842,brazil,-11.0,-53.0,657349034710714,colombia,3.816667,-73.916667,1367,travel counts
2020-03-04,345922999375723,bolivia,-17.056869611111,-64.991228611111,1983580781764432,peru,-8.0,-78.0,1096,travel counts
2020-03-04,1317763431707213,germany,51.0,10.0,616857608787515,hungary,47.0,19.0,4689,travel counts
2020-03-04,680120905754069,france,47.0,2.0,425473528186094,switzerland,46.798562,8.231973,24625,travel counts
2020-03-04,1080265735511471,spain,40.0,-3.0,425473528186094,switzerland,46.798562,8.231973,1359,travel counts
2020-03-04,309198619756155,liechtenstein,47.145,9.553889,425473528186094,switzerland,46.798562,8.231973,1571,travel counts
2020-03-04,852597565113521,united kingdom,54.0,-2.0,425473528186094,switzerland,46.798562,8.231973,1518,travel counts
2020-03-04,1317763431707213,germany,51.0,10.0,425473528186094,switzerland,46.798562,8.231973,10844,travel counts
2020-03-04,351886962112263,italy,43.0,12.0,425473528186094,switzerland,46.798562,8.231973,10271,travel counts
2020-03-04,806572816378642,tunisia,34.0,9.0,2318040415151986,algeria,28.0,2.0,1583,travel counts
2020-03-04,314322742593141,denmark,56.0,10.0,627913770953274,sweden,61.0,15.0,7325,travel counts
2020-03-04,852597565113521,united kingdom,54.0,-2.0,627913770953274,sweden,61.0,15.0,1583,travel counts
2020-03-04,1317763431707213,germany,51.0,10.0,627913770953274,sweden,61.0,15.0,2953,travel counts
2020-03-04,331955067734176,finland,64.0,26.0,505239163341639,estonia,59.0,26.0,2386,travel counts
2020-03-04,351886962112263,italy,43.0,12.0,2666999523371674,san marino,43.933333333333,12.466666666667,2531,travel counts
2020-03-04,680120905754069,france,47.0,2.0,1231810770328071,poland,52.0,19.0,1109,travel counts
2020-03-04,475814519825093,belgium,51.0,5.0,1231810770328071,poland,52.0,19.0,1166,travel counts
2020-03-04,833225000389252,slovakia,49.0,20.0,1231810770328071,poland,52.0,19.0,2552,travel counts
2020-03-04,852597565113521,united kingdom,54.0,-2.0,1246147782210951,australia,-25.0,135.0,1397,travel counts
2020-03-04,433497307408292,thailand,15.0,101.0,1246147782210951,australia,-25.0,135.0,1688,travel counts
2020-03-04,1246147782210951,australia,-25.0,135.0,384063729112550,new zealand,-42.0,174.0,6140,travel counts
