geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon
"LINESTRING (-73.98193359374999 40.363286261845936, -73.98193359374999 40.363286261845936)",2020-04-28 1600,1206879,Rumson,1206879,Rumson,0,13,US,LEVEL4,191,125.8,65.2,51.419558359621,0,4,40.362226449936,-74.00448748566,40.362226449936,-74.00448748566
"LINESTRING (-74.87841796875 40.11504540699097, -74.91796875000003 40.229216111242735)",2020-04-28 1600,1407743,Bristol township,1407767,Newtown township,13.132450385883,13,US,LEVEL4,10,52,-42,-79.245283018868,0,-4,40.121284051425,-74.866618742992,40.242072185852,-74.939219618432
"LINESTRING (-74.879150390625 40.02761236253704, -74.77294921874999 39.99395361945257)",2020-04-28 1600,1206636,Willingboro,1206621,Mount Holly,9.7885960792205,13,US,LEVEL4,13,13,0,0,0,0,40.0281007293,-74.887968237449,39.99496716708,-74.786105188463
"LINESTRING (-74.88103093327703 40.1175857930432, -74.93329022381756 40.11183470831851)",2020-04-28 1600,1407743,Bristol township,1407740,Bensalem,4.4897555363864,13,US,LEVEL4,113,227.4,-114.4,-50.087565674256,0,-4,40.121284051425,-74.866618742992,40.108390343105,-74.943156763288
"LINESTRING (-74.88129237912736 40.11643777876435, -75.07642062205188 40.03077268209182)",2020-04-28 1600,1407743,Bristol township,1409284,Philadelphia,19.141600066123,13,US,LEVEL4,161,223.4,-62.4,-27.807486631016,0,-4,40.121284051425,-74.866618742992,40.00752670246,-75.134076100705
"LINESTRING (-74.88187283748901 40.02761236253704, -74.88197581420255 40.02761236253704)",2020-04-28 1600,1206636,Willingboro,1206636,Willingboro,0.0087680484386905,13,US,LEVEL4,1706,1235.2,470.8,38.084452353988,0,4,40.0281007293,-74.887968237449,40.0281007293,-74.887968237449
"LINESTRING (-74.8828125 40.02761236253704, -74.90478515625 40.06125450602933)",2020-04-28 1600,1206636,Willingboro,1206610,Edgewater Park,4.1823880242546,13,US,LEVEL4,10,34.8,-24.8,-69.27374301676,0,-4,40.0281007293,-74.887968237449,40.053923348051,-74.911577894539
"LINESTRING (-74.88528530697347 39.511280569516025, -74.88528530697347 39.511280569516025)",2020-04-28 1600,1206508,Buena Vista,1206508,Buena Vista,0,13,US,LEVEL4,311,225,86,38.053097345133,0,4,39.515181403212,-74.888314716474,39.515181403212,-74.888314716474
"LINESTRING (-74.88669002757354 40.027612362537035, -74.94873046875 40.027612362537035)",2020-04-28 1600,1206636,Willingboro,1206608,Delran,5.2824911932148,13,US,LEVEL4,19,24.6,-5.6,-21.875,0,-2.0726529885533,40.0281007293,-74.887968237449,40.017012059756,-74.949420107039
"LINESTRING (-74.88830566406251 40.39105609583514, -74.88830566406251 40.39105609583514)",2020-04-28 1600,1206796,West Amwell,1206796,West Amwell,0,13,US,LEVEL4,87,81.6,5.4,6.5375302663438,0,1.0529697275555,40.379154644789,-74.895256632204,40.379154644789,-74.895256632204
"LINESTRING (-74.898193359375 39.96532626255265, -74.94873046875 40.02761236253704)",2020-04-28 1600,1206622,Mount Laurel,1206608,Delran,8.1548254832192,13,US,LEVEL4,18,19.4,-1.4,-6.8627450980392,0,-0.48594709415044,39.948305165066,-74.904651280266,40.017012059756,-74.949420107039
"LINESTRING (-74.90362870065789 39.95761315104059, -74.84811883223684 39.97002640472539)",2020-04-28 1600,1206622,Mount Laurel,1206614,Hainesport,4.9281043263398,13,US,LEVEL4,39,58.8,-19.8,-33.110367892977,0,-3.2683770939624,39.948305165066,-74.904651280266,39.97707067635,-74.837138261968
"LINESTRING (-74.90478515624999 39.74009296572927, -74.94873046875 39.79165276337068)",2020-04-28 1600,1206675,Winslow,1206644,Berlin borough,6.8540279751216,13,US,LEVEL4,21,27.2,-6.2,-21.985815602837,0,-1.3013039884995,39.702706064396,-74.90307329902,39.791442735129,-74.937436951284
"LINESTRING (-74.90478515624999 40.179540674890355, -74.81689453125 40.18222673179474)",2020-04-28 1600,1407760,Middletown,1407751,Falls,7.4726591191423,13,US,LEVEL4,24,41.4,-17.4,-41.037735849057,0,-2.2788459659519,40.179049021313,-74.905930221603,40.168510939548,-74.79148000224
"LINESTRING (-74.90478515625 38.942318919797366, -74.90478515625 38.942318919797366)",2020-04-28 1600,1206679,Cape May,1206679,Cape May,0,13,US,LEVEL4,204,190.6,13.4,6.9937369519833,0,0.6452307689416,38.939707472372,-74.905743997427,38.939707472372,-74.905743997427
"LINESTRING (-74.90478515625 38.942318919797366, -74.935546875 38.98844468368937)",2020-04-28 1600,1206679,Cape May,1206682,Lower,5.7775015703082,13,US,LEVEL4,20,18,2,10.526315789474,0,0.3563483225499,38.939707472372,-74.905743997427,38.983089105498,-74.911885684018
"LINESTRING (-74.02587890625001 40.363286261845936, -74.02587890625001 40.363286261845936)",2020-04-28 1600,1206851,Fair Haven,1206851,Fair Haven,0,13,US,LEVEL4,305,198,107,53.768844221106,0,4,40.361909960694,-74.039311060239,40.361909960694,-74.039311060239
"LINESTRING (-74.90478515625 39.79165276337068, -74.90478515625 39.79165276337068)",2020-04-28 1600,1206645,Berlin township,1206645,Berlin township,0,13,US,LEVEL4,349,273.8,75.2,27.365356622999,0,4,39.805237604075,-74.925494077478,39.805237604075,-74.925494077478
