spaco_id,country,polygon_name,level,date_time,n_baseline,n_crisis,density_baseline,density_crisis,n_difference,percent_change,clipped_z_score,lat,lon
50857,US,Central Kent,LEVEL4,2020-04-28 1600,1863.5277871879,2252,0.00094820392578909,0.0011480394880723,388.4722128121,20.834884600889,3.9523934544576,39.064025405394,-75.599111953732
50858,US,Dover,LEVEL4,2020-04-28 1600,8476.0884958874,7726,0.0043128202554276,0.0039386114941591,-750.0884958874,-8.8484212032386,-4,39.162930646602,-75.551772671949
50859,US,Felton,LEVEL4,2020-04-28 1600,588.13129990719,697,0.00029925414114322,0.00035532128027814,108.86870009281,18.479530812564,2.9851323700902,38.98931128247,-75.624766630315
50860,US,Harrington,LEVEL4,2020-04-28 1600,1057.4670897328,1188,0.00053806251388957,0.00060562651502214,130.53291026722,12.332259692663,2.1685498716724,38.898066771241,-75.614569315392
50861,US,Kenton,LEVEL4,2020-04-28 1600,451.73013736996,588,0.00022985022954651,0.00029975453773823,136.26986263004,30.099578398219,3.9578391482439,39.237329899324,-75.694780755358
50862,US,Milford North,LEVEL4,2020-04-28 1600,1698.9166666667,1605,0.00086444616710157,0.00081820753923445,-93.916666666667,-5.5247806265013,-2.4781372647124,38.989819961001,-75.421922103593
50863,US,Smyrna,LEVEL4,2020-04-28 1600,2168.6383066128,2517,0.0011034508688759,0.001283132944706,348.36169338722,16.056210490267,3.8274895938949,39.286375629578,-75.533458920434
50865,US,Brandywine,LEVEL4,2020-04-28 1600,6230.0440929318,6070,0.0031699834622114,0.0030944048368555,-160.04409293177,-2.5684955931112,-1.5282253975608,39.794486851401,-75.504718308452
50866,US,Glasgow,LEVEL4,2020-04-28 1600,2780.8190874073,3312,0.0014149419148548,0.0016884133146072,531.18091259275,19.094732471903,4,39.592710566001,-75.740580225238
50867,US,Lower Christiana,LEVEL4,2020-04-28 1600,3756.4330167406,3938,0.0019113557404004,0.00200753974424,181.56698325937,4.8322081178941,3.1967986896958,39.730496823875,-75.608560545903
50868,US,Middletown-Odessa,LEVEL4,2020-04-28 1600,4177.0950579744,4968,0.0021253978393005,0.0025326199719108,790.90494202558,18.929797696107,3.2333464709017,39.428124022881,-75.656812391948
50869,US,Newark,LEVEL4,2020-04-28 1600,5206.4166666667,4950,0.0026491393133862,0.0025234438125922,-256.41666666667,-4.9240666357279,-1.1102086382858,39.687535417706,-75.741791551264
50870,US,New Castle,LEVEL4,2020-04-28 1600,7991.6209683956,8278,0.0040663125217392,0.0042200137132603,286.3790316044,3.5830428183296,2.2439295205276,39.656783783661,-75.598341667716
50871,US,Piedmont,LEVEL4,2020-04-28 1600,1473.482873113,1526,0.00074974049460089,0.00077793439555874,52.517126886966,3.5617319023915,1.2426167193965,39.786522463883,-75.651014524627
50872,US,Pike Creek-Central Kirkwood,LEVEL4,2020-04-28 1600,2716.0809363399,2892,0.0013820017196978,0.0014743029305084,175.91906366013,6.474561037446,1.8090791352551,39.734109328896,-75.674672313334
50873,US,Red Lion,LEVEL4,2020-04-28 1600,751.91666666667,825,0.00038259173815458,0.00042057396876537,73.083333333333,9.7066961815163,3.3623414418951,39.577047721181,-75.617472957557
50874,US,Upper Christiana,LEVEL4,2020-04-28 1600,4018.502600074,2899,0.0020447025085329,0.0014778714369101,-1119.502600074,-27.851769521268,-4,39.675383047802,-75.67010117089
50875,US,Wilmington,LEVEL4,2020-04-28 1600,7099.490531543,5993,0.0036123769333592,0.0030551512664374,-1106.490531543,-15.583297050078,-2.2568661009478,39.734893500818,-75.527941216548
50877,US,Bridgeville-Greenwood,LEVEL4,2020-04-28 1600,1072.321929438,1119,0.00054562098305881,0.00057045123763449,46.678070561971,4.3489347680067,1.2510083457479,38.775631086612,-75.602316789478
50878,US,Georgetown,LEVEL4,2020-04-28 1600,1828.468398846,1596,0.00093036493788126,0.00081361945957519,-232.468398846,-12.70688244698,-3.0086403514602,38.692198318977,-75.410151445503
50879,US,Laurel-Delmar,LEVEL4,2020-04-28 1600,1866.6310759494,2128,0.00094978294736673,0.0010848259461003,261.3689240506,13.994676326412,3.0989649323618,38.52499324381,-75.520435659214
50880,US,Lewes,LEVEL4,2020-04-28 1600,3641.5634735283,3721,0.0018529075902969,0.001896916045789,79.436526471744,2.1807863349269,0.42145532299469,38.738481404593,-75.164810274117
50881,US,Milford South,LEVEL4,2020-04-28 1600,1677.7631233077,2008,0.00085368277897544,0.0010236515506435,330.23687669231,19.671439770588,3.9185099271993,38.84866705899,-75.388360700126
50882,US,Millsboro,LEVEL4,2020-04-28 1600,3286.3199971267,3693,0.0016721518960428,0.0018826420201825,406.68000287329,12.371171751723,4,38.61154555535,-75.291744868194
50883,US,Milton,LEVEL4,2020-04-28 1600,1850.7340223259,2096,0.00094169417683273,0.0010685127739785,245.26597767413,13.245205559601,4,38.745208806107,-75.279813649507
50884,US,Seaford,LEVEL4,2020-04-28 1600,2647.75,2682,0.0013472334363721,0.0013672477384591,34.25,1.2930627654554,0.64324340232314,38.65035419964,-75.600428480338
50885,US,Selbyville-Frankford,LEVEL4,2020-04-28 1600,3100.155878509,3707,0.0015774274978729,0.0018897790329857,606.84412149096,19.568320499346,4,38.516437854228,-75.188543081339
80793,US,Washington,LEVEL4,2020-04-28 1600,69416.454172714,48133,0.035320618674675,0.024537559804344,-21283.454172714,-30.660090356756,-2.7019879749454,38.904768374005,-77.016288812624
1109341,US,District 1 Orleans,LEVEL4,2020-04-28 1600,64.333333333333,73,3.2734214990063E-5,3.7214423902875E-5,8.6666666666667,13.265306122449,0.94526991271421,39.663349776444,-78.402255891391
