safegraph_place_id,location_name,street_address,city,region,postal_code,brands,naics_code,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,visitor_home_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_week_brand,device_type,iso_country_code
sg:d64ef01a399a40b4bbd0179be2adab4a,21 Taste House,1109 Ocean Ave,San Francisco,CA,94112,[],722511,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,21,13,"[0,4,2,3,6,3,3]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0]",{},"{""US"":9}",1054,257,"{""<5"":0,""5-20"":9,""21-60"":1,""61-240"":0,"">240"":11}","{""Quickly"":33}","{""Chevron"":22,""McDonald's"":16,""Peet's Coffee and Tea"":15,""Walgreens"":12,""Impark"":8,""Golden China"":8,""Quickly"":8,""Bubba Gump Shrimp"":8,""Winchell's Donut House"":8,""Baja Fresh"":8,""Nordstrom Rack"":8,""Travelodge"":8,""Zumiez"":8,""DoubleTree by Hilton"":8,""Holiday Inn Express"":7,""Papa John's"":7,""76"":7,""ARCO"":7,""Kohl's"":7,""Love's Travel Stops and Country Stores"":7}","{""android"":7,""ios"":6}",US
sg:dc8eed18b7bb4063aadc2a26d469b33d,Super Sam Food,691 McAllister St,San Francisco,CA,94102,[],445110,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,28,25,"[5,6,5,5,3,2,2]","[0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0]",{},"{""US"":14}",3852,20.5,"{""<5"":1,""5-20"":13,""21-60"":4,""61-240"":5,"">240"":5}",{},"{""Popeyes Louisiana Kitchen"":11,""Costco Wholesale Corp."":10,""Whole Foods Market"":8,""Chevron"":7}","{""android"":13,""ios"":12}",US
sg:fb8efbfa54b34ec3a0d2559aa7bf1048,Caffe Sport,574 Green St,San Francisco,CA,94133,[],722511,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,4,2,"[1,0,0,0,2,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,141.5,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":2,"">240"":1}",{},{},"{""android"":0,""ios"":0}",US
sg:0f62ad5940954c9ebe3aed2824aa9316,Korean Center Inc Korean Language Program,1362 Post St,San Francisco,CA,94109,[],611630,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,5,4,"[1,3,0,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,186,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":3,"">240"":2}",{},{},"{""android"":0,""ios"":0}",US
sg:17d2697cd56946bc9ea97c17bbd0939c,Road House Coffee Company,5191 3rd St,San Francisco,CA,94124,[],722515,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,38,27,"[7,12,4,5,4,3,3]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","{""060750232001"":6}","{""US"":23}",780,71,"{""<5"":1,""5-20"":9,""21-60"":8,""61-240"":16,"">240"":4}","{""Extra Space Storage"":33,""Subway"":8}","{""Chevron"":28,""Costco Wholesale Corp."":27,""Walgreens"":19,""Grocery Outlet"":11,""The Home Depot"":8,""Krispy Krunchy Chicken"":7,""Safeway"":7,""Valero Energy"":6}","{""android"":16,""ios"":11}",US
sg:1c8293eefc6a4386932f27508ffe923d,Pork Store Cafe,1451 Haight St,San Francisco,CA,94117,[],722515,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,6,5,"[3,2,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},"{""US"":5}",27817,24,"{""<5"":0,""5-20"":3,""21-60"":3,""61-240"":0,"">240"":0}",{},"{""Ben & Jerry's"":40,""Alphagraphics"":20,""Ralph Lauren"":20,""Premium Outlets"":20,""Chevron Extra Mile"":20,""Red Robin Gourmet Burgers"":20,""Macy's"":20,""Smart & Final"":20,""Safeway Pharmacy"":20,""Whole Foods Market"":20,""Kwik Trip"":20,""ARCO"":20,""Panera Bread"":20,""Domino's Pizza"":19,""Valero Energy"":19,""Speedway"":19,""United States Postal Service (USPS)"":19,""Burger King"":18,""Taco Bell"":18,""McDonald's"":13}","{""android"":0,""ios"":0}",US
sg:1f77beafd76d454a942f3e78baf0482f,KJ Produce Market,400 Irving St,San Francisco,CA,94122,[],445110,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,7,6,"[0,5,0,1,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},"{""US"":6}",180,10,"{""<5"":0,""5-20"":6,""21-60"":1,""61-240"":0,"">240"":0}",{},"{""Costco Wholesale Corp."":14,""Shell Oil"":14,""Target"":13}","{""android"":0,""ios"":0}",US
sg:2db68082639d4b9eb0e8eafda9def3bf,Apple Retail Store,300 Post St,San Francisco,CA,94108,"[""Apple Retail Store""]",443142,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,1,1,"[0,0,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,5,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":0}",US
sg:309c218d2c2f41538b64005eb90ba628,South Van Ness Dental Group,240 Shotwell St,San Francisco,CA,94110,[],621210,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,4,3,"[0,0,0,1,1,2,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},null,84,"{""<5"":0,""5-20"":1,""21-60"":1,""61-240"":2,"">240"":0}",{},{},"{""android"":0,""ios"":0}",US
sg:43cc65a533124ff9b89d9c3eb304f0ea,Patrick Thermador Appliance Repair Pro,188 Bertita St,San Francisco,CA,94112,[],811412,2020-03-15T00:00:00-07:00,2020-03-22T00:00:00-07:00,11,8,"[0,2,1,2,1,4,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]",{},"{""US"":5}",5149,54,"{""<5"":2,""5-20"":2,""21-60"":2,""61-240"":3,"">240"":2}",{},"{""Andale Mexican Family Kitchen"":12,""Marukai"":12,""St. Regis"":12,""Stein Mart"":12,""Five Guys"":12,""Trader Joe's"":12,""Ross Stores"":12,""Safeway"":12,""Planet Fitness"":12,""Goodwill Industries"":12,""Valero Energy"":11,""Chevron"":11,""Burger King"":11,""Costco Wholesale Corp."":10,""Shell Oil"":9,""Target"":9,""Starbucks"":9}","{""android"":0,""ios"":0}",US
