polygon_id,polygon_name,county_fips,state_fips,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
56001,Albany,56001,56,2020-03-01,0.22761052041143467,0.19678714859437751
56003,Big Horn,56003,56,2020-03-01,0.009513410357404049,0.24292682926829268
56005,Campbell,56005,56,2020-03-01,-0.019476222487353808,0.19203491543917076
56007,Carbon,56007,56,2020-03-01,0.44855807650185753,0.21325966850828731
56009,Converse,56009,56,2020-03-01,-0.09390709295336716,0.20946335833814198
56013,Fremont,56013,56,2020-03-01,-0.05288530469794788,0.22343522561863174
56015,Goshen,56015,56,2020-03-01,-0.036146228308875476,0.2089182493806771
56021,Laramie,56021,56,2020-03-01,0.07852388468993872,0.21364693257020212
56023,Lincoln,56023,56,2020-03-01,-0.02643152758071659,0.24351464435146442
56025,Natrona,56025,56,2020-03-01,-0.08371794331974765,0.2543165868330177
56029,Park,56029,56,2020-03-01,-0.005535434052610835,0.22665534804753823
56031,Platte,56031,56,2020-03-01,0.050002930012149706,0.20106382978723406
56033,Sheridan,56033,56,2020-03-01,0.012093865074058269,0.2133051742344245
56037,Sweetwater,56037,56,2020-03-01,0.21663805115817147,0.2522851919561243
56039,Teton,56039,56,2020-03-01,0.15165712913851448,0.1323615160349854
56041,Uinta,56041,56,2020-03-01,0.2820676666559299,0.22
56001,Albany,56001,56,2020-03-02,0.1137592750043794,0.13847675568743817
56003,Big Horn,56003,56,2020-03-02,0.0813159159611715,0.146484375
56005,Campbell,56005,56,2020-03-02,0.15859613979405104,0.11774107618540224
56007,Carbon,56007,56,2020-03-02,-0.16285538537139396,0.16675574559059325
56009,Converse,56009,56,2020-03-02,0.2029252903693056,0.10987791342952274
56013,Fremont,56013,56,2020-03-02,0.061331918964984286,0.12592047128129602
56015,Goshen,56015,56,2020-03-02,-0.004328706307881691,0.15811258278145696
56021,Laramie,56021,56,2020-03-02,0.1346912508642135,0.1420500403551251
56023,Lincoln,56023,56,2020-03-02,0.14813970260402898,0.13798977853492334
56025,Natrona,56025,56,2020-03-02,0.0433064468328013,0.13603899784604923
56029,Park,56029,56,2020-03-02,0.10988969608735616,0.14960971379011276
56031,Platte,56031,56,2020-03-02,,
56033,Sheridan,56033,56,2020-03-02,0.09093132396635163,0.14149947201689547
56037,Sweetwater,56037,56,2020-03-02,0.106371074350126,0.16826347305389222
56039,Teton,56039,56,2020-03-02,0.05077451028090492,0.10446009389671362
56041,Uinta,56041,56,2020-03-02,0.03714415748663378,0.14504881450488144
56001,Albany,56001,56,2020-03-03,-0.020864343057286096,0.12658227848101267
56003,Big Horn,56003,56,2020-03-03,0.061522742723588666,0.1665098777046096
56005,Campbell,56005,56,2020-03-03,0.07768079157892005,0.10418848167539267
56007,Carbon,56007,56,2020-03-03,-0.23651859098957567,0.15639810426540285
56009,Converse,56009,56,2020-03-03,0.18379762192067456,0.10882512181916622
56013,Fremont,56013,56,2020-03-03,0.04543954372674771,0.11119081779053085
56015,Goshen,56015,56,2020-03-03,0.11065572345768468,0.13414634146341464
56021,Laramie,56021,56,2020-03-03,0.09782451545979129,0.13254943880277925
56023,Lincoln,56023,56,2020-03-03,0.07952006815189863,0.14368770764119604
