polygon_id,polygon_name,county_fips,state_fips,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
28001,Adams,28001,28,2020-03-01,0.11467023715663208,0.16635880858924035
28003,Alcorn,28003,28,2020-03-01,0.09119706713619746,0.16533333333333333
28005,Amite,28005,28,2020-03-01,0.003814354148107248,0.18990825688073398
28007,Attala,28007,28,2020-03-01,0.08616226932296742,0.19789205887697622
28009,Benton,28009,28,2020-03-01,,
28011,Bolivar,28011,28,2020-03-01,0.12540124663021654,0.15705001969279242
28013,Calhoun,28013,28,2020-03-01,0.08006419294946772,0.1686340640809443
28015,Carroll,28015,28,2020-03-01,0.1366871740547484,0.17705033438929954
28017,Chickasaw,28017,28,2020-03-01,0.05498446087157679,0.14158878504672898
28021,Claiborne,28021,28,2020-03-01,-0.04495558143366771,0.12001256676091739
28023,Clarke,28023,28,2020-03-01,0.01804110626889472,0.18991630131526507
28025,Clay,28025,28,2020-03-01,0.10193484666269592,0.17518362244100644
28027,Coahoma,28027,28,2020-03-01,0.09924683457328756,0.14240142911828504
28029,Copiah,28029,28,2020-03-01,0.046614831126571395,0.15484199796126402
28031,Covington,28031,28,2020-03-01,0.024059419604068717,0.15547205260685765
28033,DeSoto,28033,28,2020-03-01,0.1050249478234306,0.16573988260735248
28035,Forrest,28035,28,2020-03-01,0.08860958859290476,0.16853213943076437
28039,George,28039,28,2020-03-01,0.052072998736756845,0.21440079315900362
28041,Greene,28041,28,2020-03-01,0.08006029440639134,0.2089673913043478
28043,Grenada,28043,28,2020-03-01,0.05458100741354807,0.15075553473117018
28045,Hancock,28045,28,2020-03-01,0.018584927734476276,0.17402803491139915
28047,Harrison,28047,28,2020-03-01,0.1484779576619749,0.15379850723156488
28049,Hinds,28049,28,2020-03-01,0.08376810833202693,0.1476001539298558
28051,Holmes,28051,28,2020-03-01,0.2742579355885024,0.1878228782287823
28053,Humphreys,28053,28,2020-03-01,0.14719282335186065,0.15345268542199486
28057,Itawamba,28057,28,2020-03-01,0.022781981755783772,0.1908865541258411
28059,Jackson,28059,28,2020-03-01,0.10793278122112461,0.17840172786177105
28061,Jasper,28061,28,2020-03-01,-0.010889380744099255,0.15193421790319564
28065,Jefferson Davis,28065,28,2020-03-01,0.01453937050385441,0.16842647437548286
28067,Jones,28067,28,2020-03-01,0.09171248606280627,0.16527795050366875
28069,Kemper,28069,28,2020-03-01,,
28071,Lafayette,28071,28,2020-03-01,0.016914458757819172,0.1605102311985118
28073,Lamar,28073,28,2020-03-01,0.05993631857190612,0.16886877828054292
28075,Lauderdale,28075,28,2020-03-01,0.1457703670936685,0.1751101321585903
28077,Lawrence,28077,28,2020-03-01,0.0807859562508334,0.1603799185888738
28079,Leake,28079,28,2020-03-01,0.07383880266112092,0.16908665105386414
28081,Lee,28081,28,2020-03-01,0.08468719050150937,0.15211275946818273
28083,Leflore,28083,28,2020-03-01,0.11227857087633682,0.14450867052023122
28085,Lincoln,28085,28,2020-03-01,0.04397800157270194,0.1530120481927711
28087,Lowndes,28087,28,2020-03-01,0.09508989985948295,0.1530131826741996
28089,Madison,28089,28,2020-03-01,0.07184622347005366,0.15070996766483902
28091,Marion,28091,28,2020-03-01,-0.06642040624311303,0.18767177071063992
28093,Marshall,28093,28,2020-03-01,0.0034404619290208174,0.15772179627601315
28095,Monroe,28095,28,2020-03-01,0.021763417716009405,0.15991185960494222
28097,Montgomery,28097,28,2020-03-01,0.08105198055613454,0.1677037958929683
28099,Neshoba,28099,28,2020-03-01,0.1133268139942333,0.116390977443609
28101,Newton,28101,28,2020-03-01,0.09719126256269908,0.16684590566907362
28103,Noxubee,28103,28,2020-03-01,-0.006563843094529154,0.1512605042016807
28105,Oktibbeha,28105,28,2020-03-01,0.06718743258717795,0.139969591270906
28107,Panola,28107,28,2020-03-01,0.07303438219210308,0.14378296910324043
28109,Pearl River,28109,28,2020-03-01,0.08116195850586098,0.20624884622484768
28111,Perry,28111,28,2020-03-01,0.012822258128269353,0.16347350087086338
