polygon_id,polygon_name,county_fips,state_fips,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
9001,Fairfield,09001,09,2020-03-01,0.012015267009639837,0.1746183117330182
9003,Hartford,09003,09,2020-03-01,0.011851063985957954,0.2072779835103411
9005,Litchfield,09005,09,2020-03-01,0.013584852157803546,0.21316818774445884
9007,Middlesex,09007,09,2020-03-01,0.0183426396620358,0.19876440806262255
9009,New Haven,09009,09,2020-03-01,0.02523848905917867,0.20166201609778808
9011,New London,09011,09,2020-03-01,0.05725744277323867,0.18132584304578941
9013,Tolland,09013,09,2020-03-01,0.02964117867960487,0.2136526770673112
9015,Windham,09015,09,2020-03-01,0.025956028522500705,0.21859730887769677
9001,Fairfield,09001,09,2020-03-02,0.012824531341999111,0.11619277353407365
9003,Hartford,09003,09,2020-03-02,0.01296851242237994,0.13386087676846947
9005,Litchfield,09005,09,2020-03-02,-0.0028723991537959984,0.13567852232339736
9007,Middlesex,09007,09,2020-03-02,0.014366514409505196,0.13015913269511192
9009,New Haven,09009,09,2020-03-02,0.003761422524237744,0.13799559804722802
9011,New London,09011,09,2020-03-02,0.008809277320677614,0.13299524971113108
9013,Tolland,09013,09,2020-03-02,0.059876791687877406,0.1264693077927732
9015,Windham,09015,09,2020-03-02,0.011158550366876425,0.13156317130439124
9001,Fairfield,09001,09,2020-03-03,0.055284948800877594,0.11284052056909674
9003,Hartford,09003,09,2020-03-03,0.058097091339238884,0.12486675148722533
9005,Litchfield,09005,09,2020-03-03,0.03733776550224362,0.13164104026758627
9007,Middlesex,09007,09,2020-03-03,0.03663523903254721,0.12083906245003678
9009,New Haven,09009,09,2020-03-03,0.07230885588554885,0.12870321207647503
9011,New London,09011,09,2020-03-03,0.056303990946593045,0.12283523326728603
9013,Tolland,09013,09,2020-03-03,0.1105661190187566,0.11870903033993624
9015,Windham,09015,09,2020-03-03,0.053935729219648704,0.12735177273067982
9001,Fairfield,09001,09,2020-03-04,0.02378121918162289,0.11155048271710695
9003,Hartford,09003,09,2020-03-04,0.03927649516911851,0.12618444830694509
9005,Litchfield,09005,09,2020-03-04,-0.0022850857155670605,0.14092098784627738
9007,Middlesex,09007,09,2020-03-04,0.05540579804542009,0.113444426468209
9009,New Haven,09009,09,2020-03-04,0.03839244811084822,0.12943409143099782
9011,New London,09011,09,2020-03-04,0.030300197739614943,0.1285876522816436
9013,Tolland,09013,09,2020-03-04,0.03605889730251539,0.12302747986855876
9015,Windham,09015,09,2020-03-04,0.02727855901519332,0.1287096368890564
9001,Fairfield,09001,09,2020-03-05,0.06700618753170579,0.10807981620780377
9003,Hartford,09003,09,2020-03-05,0.049279322540052184,0.1246963248849912
9005,Litchfield,09005,09,2020-03-05,0.03108594092566294,0.12785684604196962
9007,Middlesex,09007,09,2020-03-05,0.028977041872050656,0.12336275853277667
9009,New Haven,09009,09,2020-03-05,0.06307672332344762,0.1280639624568188
9011,New London,09011,09,2020-03-05,0.04828789803956462,0.11966510903426793
9013,Tolland,09013,09,2020-03-05,0.051578022262470914,0.1163751302036565
9015,Windham,09015,09,2020-03-05,0.05992978121552473,0.12340414858662119
9001,Fairfield,09001,09,2020-03-06,0.025183026971326704,0.1130249077276631
9003,Hartford,09003,09,2020-03-06,0.016520802029575423,0.12829712368914736
9005,Litchfield,09005,09,2020-03-06,0.011990409294034145,0.13508605716090322
9007,Middlesex,09007,09,2020-03-06,-0.012169042345719147,0.12434064188115665
9009,New Haven,09009,09,2020-03-06,0.018164267218245513,0.13285656066362544
9011,New London,09011,09,2020-03-06,0.0005040401623322159,0.12310081532289377
9013,Tolland,09013,09,2020-03-06,0.019447779396186606,0.11405692024672649
9015,Windham,09015,09,2020-03-06,0.00040561144996858816,0.12869303955933903
9001,Fairfield,09001,09,2020-03-07,0.01328921742333093,0.15078693282235406
9003,Hartford,09003,09,2020-03-07,0.018430249159953106,0.1706444122422613
9005,Litchfield,09005,09,2020-03-07,0.02498026068452219,0.17512757115050773
9007,Middlesex,09007,09,2020-03-07,0.027748573125629974,0.1631504012425575
9009,New Haven,09009,09,2020-03-07,0.019675091873537578,0.17444199339542982
9011,New London,09011,09,2020-03-07,-0.028380469614166935,0.15704324270091302
9013,Tolland,09013,09,2020-03-07,0.0037740355877667726,0.1700592630765266
9015,Windham,09015,09,2020-03-07,0.0355738931010597,0.17948847171475368
9001,Fairfield,09001,09,2020-03-08,-0.00026059558240454394,0.17354215011132934
9003,Hartford,09003,09,2020-03-08,0.0289003380323305,0.20085836538128396
9005,Litchfield,09005,09,2020-03-08,-0.0001159323070785158,0.2209139784946236
9007,Middlesex,09007,09,2020-03-08,0.05041257245602642,0.19572950387713614
9009,New Haven,09009,09,2020-03-08,0.03314504411499438,0.20161961235507564
9011,New London,09011,09,2020-03-08,0.06774798125255385,0.1814341747963391
9013,Tolland,09013,09,2020-03-08,0.04203011069163297,0.20979072418992986
9015,Windham,09015,09,2020-03-08,0.03469171176890582,0.21067799180949484
9001,Fairfield,09001,09,2020-03-09,0.034111319003247154,0.11199510975063467
9003,Hartford,09003,09,2020-03-09,0.03313149655002682,0.12984178467237384
9005,Litchfield,09005,09,2020-03-09,0.02748947957961967,0.13170821403241478
9007,Middlesex,09007,09,2020-03-09,0.04301148750251592,0.12480389331796495
9009,New Haven,09009,09,2020-03-09,0.02447686157054751,0.1362550326711107
9011,New London,09011,09,2020-03-09,0.04280877848430114,0.13053444945267226
9013,Tolland,09013,09,2020-03-09,0.07087824475407603,0.13148288698543503
9015,Windham,09015,09,2020-03-09,0.05442676911047906,0.13727412098821284
9001,Fairfield,09001,09,2020-03-10,0.02346259010969388,0.11832566261535102
9003,Hartford,09003,09,2020-03-10,0.030604671429019806,0.133386260964865
9005,Litchfield,09005,09,2020-03-10,0.03315276722703896,0.1372328164291702
9007,Middlesex,09007,09,2020-03-10,0.02141910659553235,0.13667770000180873
9009,New Haven,09009,09,2020-03-10,0.04143920163889189,0.13961374542031907
9011,New London,09011,09,2020-03-10,0.04325123970504612,0.1333818540083263
9013,Tolland,09013,09,2020-03-10,0.10809286557683519,0.1222663298448213
9015,Windham,09015,09,2020-03-10,0.039527220760868884,0.13303510154284118
9001,Fairfield,09001,09,2020-03-11,0.0038679902983591173,0.11724363161332463
9003,Hartford,09003,09,2020-03-11,0.010685084278672628,0.1337847817543435
9005,Litchfield,09005,09,2020-03-11,0.009500858388147728,0.13389839459231093
9007,Middlesex,09007,09,2020-03-11,0.03246380261047082,0.12010860884842676
9009,New Haven,09009,09,2020-03-11,0.013271672011255701,0.13904180399572325
9011,New London,09011,09,2020-03-11,0.016398214602496335,0.13052851636506177
9013,Tolland,09013,09,2020-03-11,0.03520663334110943,0.12279363695794288
9015,Windham,09015,09,2020-03-11,0.02742159475745767,0.13218478040882406
9001,Fairfield,09001,09,2020-03-12,-0.01944881512551552,0.12904649930757572
9003,Hartford,09003,09,2020-03-12,0.01380650671133685,0.136703186171435
9005,Litchfield,09005,09,2020-03-12,0.002523166848128691,0.14520055032278548
9007,Middlesex,09007,09,2020-03-12,-0.01994539129572276,0.1289138552870958
9009,New Haven,09009,09,2020-03-12,0.011434882920604128,0.14602084944799942
9011,New London,09011,09,2020-03-12,0.010341667023753732,0.1347001591152151
9013,Tolland,09013,09,2020-03-12,0.01776603173856844,0.12922178567566597
9015,Windham,09015,09,2020-03-12,0.02440209029716671,0.13674379006410262
9001,Fairfield,09001,09,2020-03-13,-0.12177349837424106,0.14786882191270317
9003,Hartford,09003,09,2020-03-13,-0.059800203537206074,0.15075479043211218
9005,Litchfield,09005,09,2020-03-13,-0.07305905829808405,0.15570329813583628
9007,Middlesex,09007,09,2020-03-13,-0.09054156934881415,0.14135743736124323
9009,New Haven,09009,09,2020-03-13,-0.10241154662358228,0.1698355071095873
9011,New London,09011,09,2020-03-13,-0.06273445195040811,0.14347002666872805
9013,Tolland,09013,09,2020-03-13,-0.05095876231498612,0.14195889623455016
9015,Windham,09015,09,2020-03-13,-0.04149030948163873,0.14728079632926308
9001,Fairfield,09001,09,2020-03-14,-0.08790042363871585,0.17748122660590984
9003,Hartford,09003,09,2020-03-14,-0.07861626192243795,0.19820563150306586
9005,Litchfield,09005,09,2020-03-14,-0.09211997506180765,0.21091661862585812
9007,Middlesex,09007,09,2020-03-14,-0.09816485142323886,0.19503768844221098
9009,New Haven,09009,09,2020-03-14,-0.0766499905918864,0.2011933561935537
9011,New London,09011,09,2020-03-14,-0.11176047538949915,0.1871142864459297
9013,Tolland,09013,09,2020-03-14,-0.0827396755193297,0.20288538411221754
9015,Windham,09015,09,2020-03-14,-0.08391384412076495,0.2024428405592288
9001,Fairfield,09001,09,2020-03-15,-0.155185297695423,0.2292867847188828
9003,Hartford,09003,09,2020-03-15,-0.11864774466870329,0.24987683816316666
9005,Litchfield,09005,09,2020-03-15,-0.1279267996932187,0.26519899717956746
9007,Middlesex,09007,09,2020-03-15,-0.13429359400358618,0.2616196404309773
9009,New Haven,09009,09,2020-03-15,-0.1214658044290521,0.24417147154675364
9011,New London,09011,09,2020-03-15,-0.09829549734261184,0.23209179929657645
