polygon_id,polygon_name,county_fips,state_fips,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
29071,Franklin,29071,29,2020-04-21,-0.1331282882774841,0.22788862990189795
29073,Gasconade,29073,29,2020-04-21,-0.1672825557727704,0.20614035087719298
29077,Greene,29077,29,2020-04-21,-0.15731920132374366,0.22535251388691058
29079,Grundy,29079,29,2020-04-21,-0.09228442631582201,0.17706973100026116
29081,Harrison,29081,29,2020-04-21,0.0023239587258037596,0.1662292213473316
29083,Henry,29083,29,2020-04-21,-0.14256070770816243,0.22158771765586968
29085,Hickory,29085,29,2020-04-21,-0.13195130346082298,0.2758452931160302
29089,Howard,29089,29,2020-04-21,0.0255530948981517,0.21006493506493507
29091,Howell,29091,29,2020-04-21,-0.09756155163909551,0.20751799202997678
29093,Iron,29093,29,2020-04-21,-0.12129363960353398,0.19343240651965485
29095,Jackson,29095,29,2020-04-21,-0.19747044339527203,0.24214885927433533
29097,Jasper,29097,29,2020-04-21,-0.10056530280792789,0.19524775427412344
29099,Jefferson,29099,29,2020-04-21,-0.22485769890001112,0.26406618815935246
29101,Johnson,29101,29,2020-04-21,-0.11374828769237555,0.22498709936356862
29105,Laclede,29105,29,2020-04-21,-0.06787773323915945,0.19861561486655027
29107,Lafayette,29107,29,2020-04-21,-0.01153230271079385,0.19278606965174136
29109,Lawrence,29109,29,2020-04-21,-0.15326796546212873,0.19055406554588858
29111,Lewis,29111,29,2020-04-21,-0.06083971749159519,0.21031122288588497
29113,Lincoln,29113,29,2020-04-21,-0.2039596205474827,0.23554295866999453
29115,Linn,29115,29,2020-04-21,-0.08661856369903786,0.21172638436482083
29117,Livingston,29117,29,2020-04-21,-0.16875059399341755,0.16695926966292135
29119,McDonald,29119,29,2020-04-21,-0.1179856388859888,0.17717870464564256
29121,Macon,29121,29,2020-04-21,0.025616994143357188,0.2279704377487209
29123,Madison,29123,29,2020-04-21,-0.15056528791981863,0.2072072072072072
29125,Maries,29125,29,2020-04-21,-0.0662898698106114,0.23917748917748916
29127,Marion,29127,29,2020-04-21,-0.09156564747817525,0.2244351165490757
29131,Miller,29131,29,2020-04-21,-0.16754640028619247,0.2352096496266514
29133,Mississippi,29133,29,2020-04-21,-0.010085912122048544,0.20817344589409056
29135,Moniteau,29135,29,2020-04-21,-0.15844739222876,0.2040485829959514
29137,Monroe,29137,29,2020-04-21,-0.2237017935257417,0.2124463519313305
29139,Montgomery,29139,29,2020-04-21,-0.1111012094855644,0.23402909550917142
29141,Morgan,29141,29,2020-04-21,-0.19667639755288124,0.24985673352435536
29143,New Madrid,29143,29,2020-04-21,0.2628844332177139,0.18828451882845199
29145,Newton,29145,29,2020-04-21,-0.0005058796185793974,0.17947291862753487
29147,Nodaway,29147,29,2020-04-21,-0.016068731517712986,0.1958874458874459
29149,Oregon,29149,29,2020-04-21,-0.09924080004814717,0.22104426186058837
29151,Osage,29151,29,2020-04-21,-0.04842551535729257,0.22232415902140676
29153,Ozark,29153,29,2020-04-21,-0.11537376634643338,0.2338093656592494
29155,Pemiscot,29155,29,2020-04-21,0.18791028089134731,0.19262403820642082
29157,Perry,29157,29,2020-04-21,-0.10372546437672195,0.18749058025621707
29159,Pettis,29159,29,2020-04-21,-0.0919108300577748,0.1938741721854305
29161,Phelps,29161,29,2020-04-21,-0.01887647512669437,0.2080404067981707
29163,Pike,29163,29,2020-04-21,-0.10373881613766642,0.22251108732222047
29165,Platte,29165,29,2020-04-21,-0.2215408401260767,0.24544575804892568
29167,Polk,29167,29,2020-04-21,-0.14343062488048094,0.2042825073389742
29169,Pulaski,29169,29,2020-04-21,-0.18471706529059975,0.2375779162956367
29173,Ralls,29173,29,2020-04-21,0.008135659046434925,0.19696610571225412
29175,Randolph,29175,29,2020-04-21,-0.057984524819439914,0.1938936103242052
29177,Ray,29177,29,2020-04-21,-0.1444328350539231,0.19069104725718364
29181,Ripley,29181,29,2020-04-21,-0.10110158746628069,0.23775843307943417
29183,St. Charles,29183,29,2020-04-21,-0.25932379420827234,0.27855464817093634
29185,St. Clair,29185,29,2020-04-21,-0.03855988989910912,0.197156652360515
29186,Ste. Genevieve,29186,29,2020-04-21,-0.03304939331042197,0.2028556503569563
29187,St. Francois,29187,29,2020-04-21,-0.16178947611134653,0.23150478107700045
29189,St. Louis,29189,29,2020-04-21,-0.2443677013083376,0.2700212497509795
29195,Saline,29195,29,2020-04-21,-0.06858226923760856,0.225201072386059
29201,Scott,29201,29,2020-04-21,-0.09943473787860548,0.2038499184339315
29203,Shannon,29203,29,2020-04-21,-0.1703863493255902,0.2252964426877471
29207,Stoddard,29207,29,2020-04-21,-0.038780875208345694,0.1961561665086616
29209,Stone,29209,29,2020-04-21,-0.11498195320725178,0.21652710817897325
29211,Sullivan,29211,29,2020-04-21,-0.010246225841701404,0.2196162046908315
29213,Taney,29213,29,2020-04-21,-0.16941342789530692,0.2622710622710622
29215,Texas,29215,29,2020-04-21,-0.11397327912446795,0.2098737601442741
29217,Vernon,29217,29,2020-04-21,-0.1724450734616704,0.19206057824690223
29219,Warren,29219,29,2020-04-21,-0.12657057009624154,0.22321299115557497
29221,Washington,29221,29,2020-04-21,-0.07825754860874168,0.22752973289140185
29223,Wayne,29223,29,2020-04-21,-0.015139145541205587,0.25440712562627577
29225,Webster,29225,29,2020-04-21,-0.07857480787346587,0.21063574570171936
29229,Wright,29229,29,2020-04-21,-0.18661617182164952,0.197296877427373
29510,St. Louis,29510,29,2020-04-21,-0.26977600137938196,0.2719021564209849
29001,Adair,29001,29,2020-04-22,-0.08743353985091533,0.20448079658605972
29003,Andrew,29003,29,2020-04-22,-0.0802570244498573,0.19811122770199366
29007,Audrain,29007,29,2020-04-22,-0.057412610608541706,0.1919438835157828
29009,Barry,29009,29,2020-04-22,-0.17929845217436544,0.25048325746710726
29011,Barton,29011,29,2020-04-22,-0.18647664974211436,0.2200692041522491
29013,Bates,29013,29,2020-04-22,-0.14948237813755236,0.21994965387035875
29015,Benton,29015,29,2020-04-22,-0.0842557765787794,0.2787257125949304
