state_fips,metric_date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
01,2020-03-01,0.06653523852127038,0.17632362584687586
02,2020-03-01,0.023948684162069758,0.19397759103641457
04,2020-03-01,0.05798661007340335,0.1797869894083884
05,2020-03-01,0.06650089085888286,0.18729210923843256
06,2020-03-01,0.0007024260619996502,0.17226286370498226
08,2020-03-01,0.06120595162265014,0.18066164882997787
09,2020-03-01,0.021014653215132007,0.1962261194614498
10,2020-03-01,0.010134639185812847,0.19480108545741576
11,2020-03-01,-0.024994332647973967,0.1807033207568906
12,2020-03-01,0.01868169930930937,0.1762919733639022
13,2020-03-01,0.08963669744398423,0.16948245640294862
15,2020-03-01,-0.026093496259859145,0.17650545601508824
16,2020-03-01,0.05542650732236567,0.18661781204005806
17,2020-03-01,0.09099176822694546,0.17078907734939813
18,2020-03-01,0.0757590935159221,0.18473675878128598
19,2020-03-01,0.10065238434724365,0.17290702775509142
20,2020-03-01,0.10236826238643837,0.16381563303314745
21,2020-03-01,0.09894241585134228,0.1915161497026372
22,2020-03-01,0.046738021900685156,0.16896251534580967
23,2020-03-01,0.025327848227480396,0.22049065116993258
24,2020-03-01,0.016478447641288616,0.1869788553658516
25,2020-03-01,0.015490310806293631,0.19852837091237055
26,2020-03-01,0.04374902119247761,0.2015773417697777
27,2020-03-01,0.040785921880519736,0.18230695739407926
28,2020-03-01,0.08328510810741065,0.1624138465306204
29,2020-03-01,0.09060572989957302,0.17989697704616864
30,2020-03-01,0.10744094579913074,0.1931314012119157
31,2020-03-01,0.08029538479850497,0.15837796777019014
32,2020-03-01,0.038646170811216914,0.16999881230452513
33,2020-03-01,0.029172048166632544,0.21232183103955052
34,2020-03-01,0.018257606129455567,0.1871455154733979
35,2020-03-01,0.11538552659591182,0.16376508532068604
36,2020-03-01,0.009784419196169493,0.21034700757853633
37,2020-03-01,0.05926376416952155,0.17697322152131462
38,2020-03-01,0.01912393628214019,0.18738663032004835
39,2020-03-01,0.07078503296910774,0.1971224547683042
40,2020-03-01,0.10628199558551715,0.1646977044139086
41,2020-03-01,0.04648372628418353,0.19802848619459726
42,2020-03-01,0.0434166309561536,0.2125905331626824
44,2020-03-01,0.04521030394798475,0.18670319815027814
45,2020-03-01,0.07569103315154635,0.1768880670998374
46,2020-03-01,0.08880068786655802,0.16309858531293586
47,2020-03-01,0.10072369840580409,0.17476842174699095
48,2020-03-01,0.0495490733901668,0.14737857001080132
49,2020-03-01,-0.038754586064136225,0.21197326046244352
50,2020-03-01,0.09996891965332744,0.21270335756317066
51,2020-03-01,0.03981526491917775,0.18129670164283856
53,2020-03-01,0.05133892054816936,0.19412310166237262
54,2020-03-01,0.0562033547255472,0.23613726803514437
55,2020-03-01,0.0543725367514462,0.18840028115997187
56,2020-03-01,0.05650556487670386,0.2204247083097486
60,2020-03-01,0.04737808191227198,0.2942643391521197
66,2020-03-01,-0.04260541939673062,0.1816898923972482
69,2020-03-01,-0.030448720111706434,0.18834737999267132
72,2020-03-01,-0.023532692783892403,0.17972732238487235
78,2020-03-01,-0.024900224656297147,0.1642354124748491
01,2020-03-02,0.04051870696877409,0.14208292042332288
02,2020-03-02,0.020551465059599854,0.14366599942808123
04,2020-03-02,0.032015333187934515,0.13815413342564759
05,2020-03-02,0.06308557594189522,0.13347946364582974
06,2020-03-02,0.011749640798852051,0.12226596634295055
08,2020-03-02,0.029941428648454952,0.13584214620141605
09,2020-03-02,0.01091793304030538,0.13018957972498507
10,2020-03-02,0.02651989217390367,0.13325153630119846
11,2020-03-02,-0.0771227718016422,0.1330844018599408
12,2020-03-02,0.005346690645383346,0.13371778545163865
13,2020-03-02,0.026189916688440423,0.1388308795175685
15,2020-03-02,0.009324060947985578,0.13774432833396502
16,2020-03-02,0.025329598718741374,0.12816392542947896
17,2020-03-02,0.027828227842231452,0.13473132919541975
18,2020-03-02,0.028407038259387906,0.13921326693048797
19,2020-03-02,0.026283125553390498,0.1234942538882558
20,2020-03-02,0.04641111923519523,0.12244319460067489
21,2020-03-02,0.030312580491607143,0.15648016038927398
22,2020-03-02,0.06324452333267118,0.12699709924596148
23,2020-03-02,0.002673893058224397,0.1594818992281182
24,2020-03-02,0.03745529460787978,0.1290710010724541
25,2020-03-02,0.01614915745605562,0.13391112600403865
26,2020-03-02,0.038103947939107374,0.14225798936533193
27,2020-03-02,-0.0008406219113152887,0.12684370219572288
28,2020-03-02,0.0771428339105158,0.12733935768104332
29,2020-03-02,0.0394840466352146,0.13954248877864905
30,2020-03-02,0.03547009727872206,0.13430148774253753
31,2020-03-02,0.052091292805968636,0.11311966112556954
32,2020-03-02,0.03534617902725001,0.13023603972254102
33,2020-03-02,0.003094259201967819,0.1430867333713516
34,2020-03-02,0.03166454696853331,0.12221944903956947
35,2020-03-02,0.10873406097910074,0.11421024190993564
36,2020-03-02,0.012673513934850361,0.13730866348358842
37,2020-03-02,0.038310127244902355,0.1285479711226392
38,2020-03-02,0.03772607746309241,0.112039975619496
39,2020-03-02,0.024988868958224292,0.14963997481850141
40,2020-03-02,0.05107452285849174,0.12635371787595998
41,2020-03-02,0.010284253464906511,0.14952493918636256
42,2020-03-02,0.0303173192951028,0.14766691763418413
44,2020-03-02,0.013796822820464828,0.13199371704591087
45,2020-03-02,0.04581689399330166,0.12906625821674816
46,2020-03-02,0.05870217216198861,0.1070106531554945
47,2020-03-02,0.03780155457200186,0.14478962056054567
48,2020-03-02,0.03954552116822978,0.10809001398404343
49,2020-03-02,0.034996245981884284,0.12097266191795274
